Case study,Reference family,Summary,LLM,Role,Example,Insight,Evidence,Repetition,Output,BLEU,METEOR,ROUGE-1,ROUGE-2,ROUGE-L,Flesch Reading Ease
fauna,modeler,bart,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/bart.txt,0.021378,0.142530,0.370983,0.086477,0.165289,26.775795
fauna,modeler,bert,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/bert.txt,0.023420,0.283616,0.433573,0.096976,0.162110,6.510098
fauna,modeler,longformer_ext,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/longformer_ext.txt,0.011041,0.119096,0.274102,0.047348,0.122873,26.993056
fauna,modeler,none,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/none.txt,0.016858,0.268582,0.231399,0.079271,0.100818,20.569375
fauna,modeler,t5,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/t5.txt,0.014956,0.128113,0.323501,0.062917,0.148430,29.075570
milk_consumption,modeler,bart,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_milk_consumption_none_plot_rep1/02_summaries/bart.txt,0.027782,0.144975,0.382353,0.147392,0.185520,30.400897
milk_consumption,modeler,bert,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_milk_consumption_none_plot_rep1/02_summaries/bert.txt,0.041156,0.271943,0.456958,0.143876,0.172168,-1.715341
milk_consumption,modeler,longformer_ext,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_milk_consumption_none_plot_rep1/02_summaries/longformer_ext.txt,0.001927,0.089469,0.202500,0.030075,0.102500,23.105000
milk_consumption,modeler,none,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_milk_consumption_none_plot_rep1/02_summaries/none.txt,0.033194,0.296414,0.306896,0.164712,0.161352,23.761073
milk_consumption,modeler,t5,moonshotai/kimi-k2.5,No,No,No,plot,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_milk_consumption_none_plot_rep1/02_summaries/t5.txt,0.010361,0.115047,0.316290,0.092968,0.156956,34.600613
fauna,modeler,bart,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_fauna_none_table_rep1/02_summaries/bart.txt,0.018769,0.136311,0.331579,0.063269,0.150877,9.805321
fauna,modeler,bert,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_fauna_none_table_rep1/02_summaries/bert.txt,0.016646,0.280310,0.399819,0.069715,0.148349,-1.205506
fauna,modeler,longformer_ext,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_fauna_none_table_rep1/02_summaries/longformer_ext.txt,0.005928,0.103432,0.244866,0.020570,0.096367,23.779147
fauna,modeler,none,moonshotai/kimi-k2.5,No,No,No,table,1,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/02_fauna_none_table_rep1/02_summaries/none.txt,0.010176,0.235700,0.192179,0.052491,0.090241,17.069447
