Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Example,0.00255377,0.07210929,0.00963822,0.03231097,0.04973861,1.94591497
Evidence,1.02879404,0.02108514,0.56222478,5.50111318,1.03676802,1.11629555
Evidence_AND_Example,1.27209855,0.09351993,0.58985957,5.71724633,1.16097175,3.27104946
Evidence_AND_Insights,1.08044858,0.02637622,0.59814881,5.87641803,1.34430815,3.69962889
Evidence_AND_Role,1.58038742,0.24335023,0.77359602,8.41304865,2.42483936,1.90042116
Insights,0.02566335,0.00115951,0.03161716,0.36027879,0.30738512,2.24549561
Insights_AND_Example,0.02821770,0.07410890,0.04345118,0.40270758,0.35768883,4.33273149
Role,0.11931464,0.19460430,0.13682863,2.45002392,1.32462637,0.63135789
Role_AND_Example,0.12944508,0.26672139,0.14709917,2.51085177,1.38178915,2.57762947
Role_AND_Insights,0.14507231,0.19637080,0.17305803,2.81854032,1.63298074,2.89810134
Summarizer,17.77090293,19.57553783,18.88657702,10.78498330,16.80105156,13.48345758
Summarizer_AND_Example,18.95907246,19.78452114,19.38698320,11.83834590,17.48475977,15.78527928
Summarizer_AND_Evidence,21.73194399,19.96463056,20.41020385,18.01513078,19.00284597,15.61811691
Summarizer_AND_Insights,18.03153180,19.62508571,19.04465311,11.31128565,17.21624914,15.90053283
Summarizer_AND_Role,18.09455339,19.86081905,19.20606124,13.96771484,18.47399746,14.59398757
