Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
plot,off,off,off,0.04114,0.312476,0.558568,0.195823,0.240781,20.569375
plot,off,off,off,0.044137,0.313826,0.615992,0.244765,0.261839,25.426469
plot,off,off,off,0.074454,0.291762,0.602934,0.22648,0.241242,23.761073
table,off,off,off,0.030386,0.283676,0.463176,0.143322,0.191132,17.069447
table,off,off,off,0.03194,0.279422,0.546897,0.186243,0.224965,18.777333
table,off,off,off,0.047965,0.288693,0.534,0.179064,0.203544,21.954657
plot+table,off,off,off,0.035064,0.292507,0.5068,0.161141,0.211277,27.901869
plot+table,off,off,off,0.031221,0.309958,0.543647,0.197638,0.21808,18.834193
plot+table,off,off,off,0.053501,0.308838,0.544085,0.202684,0.2092,28.035335
plot,on,off,off,0.029114,0.31153,0.52153,0.158855,0.18769,10.689378
plot,on,off,off,0.022672,0.314799,0.581113,0.187352,0.183825,19.08714
plot,on,off,off,0.05636,0.295027,0.586696,0.213184,0.213429,26.447216
table,on,off,off,0.023365,0.281828,0.442955,0.118788,0.147492,13.249635
table,on,off,off,0.027618,0.280375,0.511893,0.145777,0.169179,15.620085
table,on,off,off,0.023762,0.28358,0.459054,0.143836,0.157974,17.348154
plot+table,on,off,off,0.02725,0.298234,0.468536,0.128447,0.154938,19.480334
plot+table,on,off,off,0.032695,0.300964,0.536609,0.158529,0.171791,19.326382
plot+table,on,off,off,0.040095,0.289538,0.516088,0.179454,0.190476,27.862186
plot,off,on,off,0.028553,0.300597,0.506631,0.166298,0.211444,13.612662
plot,off,on,off,0.032794,0.318136,0.555157,0.208433,0.226906,14.074788
plot,off,on,off,0.045151,0.306138,0.524919,0.186128,0.208288,10.946368
table,off,on,off,0.020892,0.272776,0.392653,0.124546,0.167895,7.468787
table,off,on,off,0.025997,0.294498,0.491061,0.172772,0.198097,10.634247
table,off,on,off,0.036888,0.293179,0.489098,0.151858,0.179812,11.3226
plot+table,off,on,off,0.020006,0.288769,0.436975,0.143938,0.178992,13.016071
plot+table,off,on,off,0.03177,0.305296,0.500489,0.190743,0.204949,18.667895
plot+table,off,on,off,0.038324,0.303474,0.504513,0.176129,0.195128,19.981545
plot,off,off,on,0.045399,0.315279,0.570138,0.19537,0.232854,18.997656
plot,off,off,on,0.042512,0.309713,0.60291,0.237842,0.258339,17.699057
plot,off,off,on,0.060015,0.300465,0.551265,0.203908,0.215054,14.570323
table,off,off,on,0.031935,0.277684,0.482466,0.147712,0.20137,14.910228
table,off,off,on,0.04306,0.292347,0.553857,0.198957,0.230174,14.604177
table,off,off,on,0.051059,0.282958,0.531895,0.165468,0.200438,20.315405
plot+table,off,off,on,0.028773,0.296799,0.502708,0.162281,0.208666,21.036818
plot+table,off,off,on,0.026152,0.306902,0.554716,0.199869,0.230693,19.567108
plot+table,off,off,on,0.056061,0.294859,0.554423,0.195302,0.20381,24.573368
plot,on,off,on,0.035108,0.315595,0.532934,0.169271,0.193439,11.878006
plot,on,off,on,0.03073,0.302643,0.586345,0.181659,0.19347,15.724245
plot,on,off,on,0.044065,0.287016,0.538001,0.181981,0.190904,15.384351
table,on,off,on,0.024645,0.291276,0.433562,0.12448,0.147141,13.526823
table,on,off,on,0.03172,0.292307,0.492249,0.138291,0.165138,11.84476
table,on,off,on,0.031595,0.281199,0.482587,0.150864,0.169416,11.392718
plot+table,on,off,on,0.024632,0.303884,0.473066,0.139881,0.167074,18.917496
plot+table,on,off,on,0.02918,0.311931,0.510855,0.158155,0.171882,16.41945
plot+table,on,off,on,0.029673,0.283951,0.502439,0.165383,0.17638,18.869551
plot,on,on,off,0.025513,0.31087,0.484256,0.144628,0.164602,3.968134
plot,on,on,off,0.025806,0.312925,0.541884,0.167882,0.178842,13.342292
plot,on,on,off,0.041329,0.293771,0.485435,0.173377,0.176961,11.008087
table,on,on,off,0.016304,0.278561,0.394133,0.09938,0.132824,8.007283
table,on,on,off,0.016823,0.286073,0.486688,0.125837,0.155068,8.985064
table,on,on,off,0.028505,0.281208,0.450267,0.142298,0.158862,11.781073
plot+table,on,on,off,0.024128,0.290347,0.448714,0.12316,0.147624,13.131633
plot+table,on,on,off,0.022962,0.303431,0.479345,0.143279,0.152092,10.61558
plot+table,on,on,off,0.028985,0.293823,0.463332,0.155988,0.16297,17.770295
plot,off,on,on,0.036744,0.310526,0.525114,0.183456,0.221461,11.538376
plot,off,on,on,0.036994,0.319596,0.572291,0.213605,0.237051,13.942641
plot,off,on,on,0.043846,0.30517,0.523352,0.187964,0.196154,11.108267
table,off,on,on,0.025341,0.287123,0.435149,0.137027,0.177114,6.755647
table,off,on,on,0.030665,0.297485,0.525773,0.193684,0.215851,9.922634
table,off,on,on,0.040624,0.292847,0.502249,0.161735,0.183776,12.749342
plot+table,off,on,on,0.027434,0.297871,0.465206,0.152214,0.196441,13.60285
plot+table,off,on,on,0.031054,0.297953,0.513509,0.19113,0.208688,13.728993
plot+table,off,on,on,0.043085,0.299385,0.508002,0.16938,0.188757,7.903232
plot,on,on,on,0.029187,0.310771,0.473006,0.151333,0.171073,7.487541
plot,on,on,on,0.030052,0.308116,0.528158,0.160171,0.175647,7.491781
plot,on,on,on,0.04187,0.299522,0.492323,0.171702,0.181223,10.587591
table,on,on,on,0.019695,0.285153,0.404357,0.112264,0.137552,9.64027
table,on,on,on,0.026365,0.294081,0.478274,0.127439,0.15903,7.200064
table,on,on,on,0.033999,0.276407,0.459353,0.140809,0.163094,8.312656
plot+table,on,on,on,0.023375,0.299821,0.447637,0.129336,0.154002,6.668406
plot+table,on,on,on,0.025248,0.30831,0.50533,0.152275,0.160336,9.118226
plot+table,on,on,on,0.035014,0.288578,0.497563,0.166239,0.17466,16.365945
plot,off,off,off,0.045813,0.315867,0.58587,0.207986,0.244974,19.895411
plot,off,off,off,0.045242,0.308107,0.612828,0.23807,0.256923,22.133977
plot,off,off,off,0.060316,0.311481,0.59954,0.229694,0.241596,23.082926
table,off,off,off,0.024666,0.27892,0.434637,0.136858,0.184188,15.161798
table,off,off,off,0.040258,0.288333,0.547474,0.194825,0.228433,21.731743
table,off,off,off,0.044219,0.286889,0.510329,0.156762,0.194615,17.936116
plot+table,off,off,off,0.035974,0.292451,0.500785,0.156585,0.208901,19.556698
plot+table,off,off,off,0.04742,0.300735,0.574224,0.214985,0.237517,22.207999
plot+table,off,off,off,0.056133,0.291517,0.574763,0.201401,0.216897,27.482176
plot,on,off,off,0.028796,0.314284,0.535132,0.163433,0.189082,10.910707
plot,on,off,off,0.02852,0.311128,0.555821,0.178561,0.184179,15.67993
plot,on,off,off,0.049581,0.289619,0.548007,0.200747,0.201284,17.551026
table,on,off,off,0.023416,0.271111,0.446561,0.119063,0.145846,13.572803
table,on,off,off,0.028332,0.282888,0.521694,0.136755,0.163567,16.346088
table,on,off,off,0.029651,0.28454,0.464079,0.15047,0.169238,16.359778
plot+table,on,off,off,0.022339,0.291807,0.458106,0.138324,0.154794,19.800266
plot+table,on,off,off,0.043207,0.299721,0.529868,0.158821,0.177468,21.183959
plot+table,on,off,off,0.04,0.290994,0.510032,0.173224,0.18717,21.579126
plot,off,on,off,0.030045,0.299315,0.529556,0.175705,0.219704,12.286687
plot,off,on,off,0.031274,0.315332,0.59464,0.22118,0.239531,16.673007
plot,off,on,off,0.055353,0.310198,0.560875,0.212022,0.226168,16.535287
table,off,on,off,0.021455,0.271738,0.41515,0.127504,0.175306,9.598356
table,off,on,off,0.031765,0.293024,0.485979,0.170363,0.194391,9.412962
table,off,on,off,0.032057,0.286958,0.453343,0.142001,0.168413,8.560518
plot+table,off,on,off,0.022552,0.293737,0.460891,0.148055,0.190541,15.600674
plot+table,off,on,off,0.018906,0.294926,0.528569,0.178401,0.204836,18.111458
plot+table,off,on,off,0.04376,0.30308,0.515768,0.178832,0.19338,21.337063
plot,off,off,on,0.044811,0.309882,0.58229,0.197494,0.248121,19.443005
plot,off,off,on,0.041531,0.324085,0.598463,0.235777,0.245602,15.636119
plot,off,off,on,0.073001,0.302271,0.581004,0.227836,0.240152,18.920318
