abm,success,planned_case_count,failed_case_count,run_root,run_log_path,report_json_path,review_csv_path,review_html_path
fauna,true,72,0,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/run.log.jsonl,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/current/smoke_full_case_matrix_report.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/request_review.csv,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/review.html
grazing,true,72,0,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/run.log.jsonl,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/current/smoke_full_case_matrix_report.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/request_review.csv,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/review.html
milk_consumption,false,72,1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/run.log.jsonl,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/smoke_full_case_matrix_report.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/request_review.csv,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/review.html
