Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
plot,off,off,off,0.055789,0.255194,0.627051,0.235388,0.285314,37.657257
plot,off,off,off,0.066216,0.247788,0.605762,0.221701,0.275006,45.928929
plot,off,off,off,0.077496,0.259232,0.629162,0.239603,0.266391,48.673715
table,off,off,off,0.042464,0.26029,0.507155,0.1751,0.224958,34.486473
table,off,off,off,0.049048,0.266883,0.541104,0.178764,0.231571,38.000951
table,off,off,off,0.073459,0.267043,0.573186,0.190407,0.227248,42.761178
plot+table,off,off,off,0.053693,0.248204,0.578937,0.204042,0.267896,42.777583
plot+table,off,off,off,0.05689,0.241691,0.569356,0.191837,0.255213,45.488476
plot+table,off,off,off,0.070825,0.261053,0.584902,0.194525,0.239472,47.5377
plot,on,off,off,0.050996,0.242113,0.60249,0.188045,0.282158,44.018909
plot,on,off,off,0.055792,0.232291,0.599257,0.213737,0.289963,59.417816
plot,on,off,off,0.076338,0.252995,0.612854,0.234365,0.272867,48.429675
table,on,off,off,0.029502,0.243837,0.47619,0.133375,0.206714,38.759364
table,on,off,off,0.050758,0.239812,0.527898,0.164779,0.232654,44.138836
table,on,off,off,0.058005,0.243495,0.526747,0.161104,0.208015,37.932685
plot+table,on,off,off,0.038291,0.258005,0.53635,0.15754,0.241754,42.232965
plot+table,on,off,off,0.051497,0.218844,0.54425,0.182765,0.259347,54.681616
plot+table,on,off,off,0.053907,0.249761,0.580948,0.186094,0.239166,48.083264
plot,off,on,off,0.059969,0.250411,0.581126,0.21472,0.275849,31.224839
plot,off,on,off,0.063574,0.280503,0.615772,0.213177,0.270554,38.632486
plot,off,on,off,0.08759,0.283976,0.623331,0.234566,0.258077,43.407603
table,off,on,off,0.042263,0.262208,0.49737,0.171583,0.224135,31.732938
table,off,on,off,0.060221,0.261146,0.542038,0.185659,0.231306,35.727463
table,off,on,off,0.065917,0.275044,0.550196,0.179028,0.214079,36.416806
plot+table,off,on,off,0.05584,0.26042,0.563788,0.195802,0.253668,32.952598
plot+table,off,on,off,0.067397,0.249547,0.566321,0.196511,0.259104,40.971176
plot+table,off,on,off,0.069955,0.281785,0.577157,0.196275,0.220909,35.933329
plot,off,off,on,0.064646,0.284419,0.613021,0.232345,0.267374,29.527717
plot,off,off,on,0.060623,0.296127,0.621568,0.228503,0.264624,37.856703
plot,off,off,on,0.080996,0.278959,0.606186,0.22,0.239155,41.380384
table,off,off,on,0.034859,0.278058,0.546243,0.184067,0.226076,32.682336
table,off,off,on,0.04963,0.268129,0.562865,0.188368,0.243009,35.238544
table,off,off,on,0.058012,0.280573,0.553076,0.179574,0.212306,34.883851
plot+table,off,off,on,0.054911,0.281636,0.580645,0.202588,0.256339,33.700942
plot+table,off,off,on,0.058575,0.278692,0.584418,0.201964,0.255558,40.587925
plot+table,off,off,on,0.07126,0.291702,0.607099,0.21127,0.241215,41.57062
plot,on,off,on,0.060546,0.289539,0.629489,0.201727,0.268301,35.360567
plot,on,off,on,0.05845,0.264077,0.615978,0.220254,0.279619,47.832203
plot,on,off,on,0.063352,0.264043,0.613818,0.211346,0.265176,41.209141
table,on,off,on,0.031197,0.272475,0.505282,0.144367,0.212766,31.584237
table,on,off,on,0.05359,0.252275,0.56038,0.182408,0.248002,39.546001
table,on,off,on,0.055475,0.261094,0.529552,0.171254,0.202106,32.071976
plot+table,on,off,on,0.049469,0.273523,0.584095,0.177394,0.249784,34.293252
plot+table,on,off,on,0.061845,0.24776,0.559733,0.188293,0.260289,43.127049
plot+table,on,off,on,0.061458,0.269575,0.586002,0.18991,0.236625,40.47192
plot,on,on,off,0.066621,0.265257,0.602515,0.201677,0.284299,37.297417
plot,on,on,off,0.063081,0.239512,0.595632,0.210804,0.278378,48.853176
plot,on,on,off,0.07645,0.275306,0.606763,0.211483,0.24657,39.039184
table,on,on,off,0.03533,0.261424,0.466324,0.127605,0.201769,31.828394
table,on,on,off,0.048552,0.259682,0.538507,0.166634,0.224966,38.063774
table,on,on,off,0.055167,0.25402,0.526559,0.159943,0.20572,31.503487
plot+table,on,on,off,0.037494,0.258818,0.554589,0.161961,0.240369,33.685718
plot+table,on,on,off,0.043404,0.23284,0.562574,0.191271,0.259356,48.36577
plot+table,on,on,off,0.055773,0.252452,0.566798,0.172796,0.229644,38.704847
plot,off,on,on,0.055981,0.280934,0.599185,0.218478,0.266619,30.899606
plot,off,on,on,0.064977,0.282956,0.588535,0.21374,0.261397,35.674462
plot,off,on,on,0.069779,0.278519,0.577875,0.204951,0.227802,33.323101
table,off,on,on,0.037274,0.273275,0.507873,0.175562,0.223513,29.866856
table,off,on,on,0.046978,0.274608,0.5474,0.175399,0.230524,31.061976
table,off,on,on,0.052168,0.276102,0.518078,0.173791,0.198466,31.820405
plot+table,off,on,on,0.051978,0.290129,0.580065,0.203499,0.253354,26.682389
plot+table,off,on,on,0.061864,0.284858,0.577633,0.198385,0.249039,34.605079
plot+table,off,on,on,0.061593,0.280973,0.569049,0.200278,0.228661,34.817951
plot,on,on,on,0.053584,0.290918,0.605673,0.191349,0.26669,31.819134
plot,on,on,on,0.058843,0.269357,0.603571,0.199196,0.266518,39.484296
plot,on,on,on,0.069487,0.268319,0.597724,0.203377,0.242936,39.340974
table,on,on,on,0.033953,0.276758,0.498353,0.14783,0.209079,28.377852
table,on,on,on,0.045548,0.25741,0.546379,0.181522,0.239626,36.547134
table,on,on,on,0.050883,0.260395,0.519422,0.157519,0.199268,32.765553
plot+table,on,on,on,0.045033,0.294986,0.571614,0.170957,0.243729,31.883015
plot+table,on,on,on,0.055593,0.264638,0.572637,0.19378,0.249524,39.10074
plot+table,on,on,on,0.06503,0.262324,0.56089,0.180604,0.222428,36.860604
plot,off,off,off,0.054925,0.257801,0.629236,0.239117,0.293964,38.144518
plot,off,off,off,0.071727,0.262658,0.627248,0.223122,0.284173,46.552651
plot,off,off,off,0.074753,0.262802,0.629227,0.242772,0.264808,47.077174
table,off,off,off,0.04161,0.254128,0.503641,0.167395,0.222042,35.208799
table,off,off,off,0.048858,0.268064,0.555039,0.178751,0.234884,39.786206
table,off,off,off,0.064171,0.274847,0.556225,0.173299,0.217668,40.195063
plot+table,off,off,off,0.047235,0.245953,0.568008,0.201846,0.261825,42.909995
plot+table,off,off,off,0.066696,0.24642,0.564436,0.193621,0.254603,47.890909
plot+table,off,off,off,0.065075,0.249277,0.588726,0.19857,0.240969,50.16453
plot,on,off,off,0.051901,0.249169,0.609306,0.191011,0.280786,43.609187
plot,on,off,off,0.05281,0.231166,0.590591,0.207812,0.286286,53.528069
plot,on,off,off,0.066559,0.247354,0.620421,0.230319,0.273575,47.601129
table,on,off,off,0.030341,0.25903,0.48507,0.134993,0.204625,35.910943
table,on,off,off,0.05003,0.249947,0.52571,0.173663,0.230769,41.954851
table,on,off,off,0.067638,0.268359,0.54593,0.175065,0.219627,38.594955
plot+table,on,off,off,0.045113,0.241571,0.531205,0.161525,0.248186,40.59379
plot+table,on,off,off,0.04296,0.214271,0.554412,0.177048,0.261765,58.569525
plot+table,on,off,off,0.06712,0.252283,0.570912,0.19172,0.247087,44.802554
plot,off,on,off,0.06328,0.251975,0.590472,0.219463,0.279824,31.796648
plot,off,on,off,0.068385,0.275753,0.619461,0.219904,0.275847,41.220376
plot,off,on,off,0.092972,0.282209,0.617883,0.224388,0.254108,40.327821
table,off,on,off,0.039691,0.263163,0.493816,0.165878,0.217438,29.627206
table,off,on,off,0.062528,0.262267,0.553055,0.184158,0.235129,37.273559
table,off,on,off,0.070798,0.272811,0.549958,0.188591,0.212136,38.898935
plot+table,off,on,off,0.051069,0.257913,0.554811,0.188508,0.248233,30.703985
plot+table,off,on,off,0.061855,0.257385,0.556484,0.189149,0.251233,37.702113
plot+table,off,on,off,0.068091,0.282929,0.591273,0.195617,0.222618,40.812105
plot,off,off,on,0.061297,0.278485,0.611121,0.226206,0.270829,33.480918
plot,off,off,on,0.074038,0.278454,0.617062,0.223743,0.278811,41.974277
plot,off,off,on,0.072076,0.280353,0.601312,0.208138,0.239925,38.098641
table,off,off,on,0.043263,0.272516,0.50848,0.179611,0.2281,29.244648
table,off,off,on,0.05789,0.269766,0.563687,0.183221,0.243275,36.334042
table,off,off,on,0.053431,0.280772,0.523869,0.178134,0.204146,32.936115
plot+table,off,off,on,0.056122,0.28888,0.593062,0.212084,0.258496,28.359479
plot+table,off,off,on,0.057584,0.274519,0.575239,0.190761,0.251194,38.062873
