Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
bart,plot,off,on,off,0.020659,0.199972,0.397993,0.067114,0.177258,28.656728
bert,plot,off,on,off,0.017508,0.245072,0.453147,0.103787,0.198601,34.898985
longformer_ext,plot,off,on,off,0.03201,0.264674,0.411239,0.081946,0.176245,27.565843
t5,plot,off,on,off,0.036202,0.210952,0.423077,0.098246,0.185315,28.004303
bart,plot,off,on,off,0.040885,0.236366,0.521472,0.138462,0.226994,28.330087
bert,plot,off,on,off,0.03898,0.237166,0.491947,0.129222,0.210835,40.902486
longformer_ext,plot,off,on,off,0.036275,0.244386,0.495413,0.134034,0.222805,26.962189
t5,plot,off,on,off,0.009249,0.147095,0.358423,0.093525,0.16129,31.654853
bart,plot,off,on,off,0.017724,0.116371,0.325359,0.167866,0.188995,31.81693
bert,plot,off,on,off,0.078304,0.285695,0.577069,0.20076,0.252088,29.503266
longformer_ext,plot,off,on,off,0.047628,0.233703,0.530165,0.168498,0.213894,47.743095
t5,plot,off,on,off,0.003684,0.091418,0.253485,0.119441,0.154626,47.654132
bart,table,off,on,off,0.020086,0.259858,0.401628,0.065306,0.154681,26.814191
bert,table,off,on,off,0.012331,0.233222,0.413245,0.063745,0.164238,33.327033
longformer_ext,table,off,on,off,0.032162,0.263314,0.412736,0.082742,0.17217,26.021743
t5,table,off,on,off,0.034331,0.21008,0.425041,0.072727,0.184514,31.026924
bart,table,off,on,off,0.038111,0.210623,0.469484,0.125589,0.219092,39.014672
bert,table,off,on,off,0.022845,0.215606,0.45768,0.122642,0.222571,34.020569
longformer_ext,table,off,on,off,0.013667,0.214299,0.408163,0.060168,0.170468,11.778989
t5,table,off,on,off,0.017993,0.157786,0.395869,0.096718,0.182444,29.803
bart,table,off,on,off,0.05047,0.186619,0.417749,0.184382,0.235931,33.091841
bert,table,off,on,off,0.072716,0.308134,0.563823,0.203691,0.241638,27.067388
longformer_ext,table,off,on,off,0.048705,0.224238,0.472628,0.135283,0.182482,33.573273
t5,table,off,on,off,0.031807,0.149138,0.367816,0.16129,0.197701,45.810412
bart,plot+table,off,on,off,0.018375,0.23573,0.394286,0.063037,0.157143,26.552216
bert,plot+table,off,on,off,0.024079,0.262961,0.418972,0.073976,0.168643,36.007635
longformer_ext,plot+table,off,on,off,0.023878,0.179704,0.274611,0.054545,0.137306,12.967291
t5,plot+table,off,on,off,0.037477,0.22268,0.40625,0.103448,0.178125,30.47285
bart,plot+table,off,on,off,0.040619,0.23845,0.511211,0.098951,0.221226,43.761078
bert,plot+table,off,on,off,0.028839,0.232376,0.496218,0.118361,0.217852,35.816126
longformer_ext,plot+table,off,on,off,0.036114,0.235198,0.478528,0.118081,0.198773,17.6343
t5,plot+table,off,on,off,0.012772,0.157219,0.391304,0.07047,0.177258,42.144524
bart,plot+table,off,on,off,0.03078,0.14701,0.368778,0.163265,0.21267,26.812863
bert,plot+table,off,on,off,0.068366,0.330665,0.576798,0.205062,0.232016,26.988028
longformer_ext,plot+table,off,on,off,0.081432,0.232434,0.542986,0.181324,0.228054,24.666716
t5,plot+table,off,on,off,0.005637,0.107296,0.306024,0.086957,0.146988,43.583571
bart,plot,off,off,on,0.046356,0.254889,0.451613,0.100324,0.193548,37.869209
bert,plot,off,off,on,0.022645,0.246532,0.459877,0.092879,0.191358,39.940021
longformer_ext,plot,off,off,on,0.039067,0.268803,0.421607,0.09247,0.187088,21.375018
t5,plot,off,off,on,0.040633,0.252985,0.440273,0.116438,0.201365,34.842039
bart,plot,off,off,on,0.046529,0.240222,0.511945,0.14726,0.249147,38.669132
bert,plot,off,off,on,0.016238,0.205422,0.5024,0.125201,0.2368,37.138994
longformer_ext,plot,off,off,on,0.019527,0.214564,0.414868,0.088942,0.182254,32.225465
t5,plot,off,off,on,0.011827,0.151649,0.408451,0.109541,0.169014,36.194657
bart,plot,off,off,on,0.021638,0.140425,0.372802,0.178613,0.206331,43.237727
bert,plot,off,off,on,0.081751,0.291107,0.571429,0.20263,0.242471,32.043811
longformer_ext,plot,off,off,on,0.087266,0.233105,0.552434,0.221388,0.243446,40.66605
t5,plot,off,off,on,0.004572,0.089197,0.261753,0.124841,0.149936,48.939286
bart,table,off,off,on,0.021877,0.233821,0.434783,0.078195,0.17991,33.52708
bert,table,off,off,on,0.016472,0.25574,0.449591,0.090164,0.168937,36.153624
longformer_ext,table,off,off,on,0.022045,0.260755,0.334686,0.069106,0.158215,21.374016
t5,table,off,off,on,0.031625,0.198662,0.37691,0.064736,0.169779,35.327841
bart,table,off,off,on,0.0361,0.205406,0.46543,0.152284,0.22597,43.501565
bert,table,off,off,on,0.018159,0.26425,0.413926,0.091085,0.174081,31.575202
longformer_ext,table,off,off,on,0.035415,0.235418,0.435866,0.122347,0.209215,25.727456
t5,table,off,off,on,0.01062,0.144857,0.387569,0.099083,0.201097,36.068215
bart,table,off,off,on,0.027306,0.134435,0.368601,0.171038,0.209329,37.79591
bert,table,off,off,on,0.063294,0.29369,0.538674,0.186722,0.211326,20.958851
