( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.1,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.2,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.3,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.4,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.5,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.6,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.7,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.8,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.9,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.10,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.11,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.12,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.13,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.14,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.15,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.16,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.17,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.18,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.19,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.20,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.21,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.22,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.23,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.24,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.25,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.26,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.27,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.28,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.29,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.30,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.31,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.32,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.33,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.34,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.35,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.36,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.37,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.38,( ( count patches with [ pcolor = green ] ) / ( count patches ) ) * 100.39
33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275,33.00015722917275
32.57114620066935,32.56440780755149,32.528469710922934,32.555423283394354,32.54194649715865,32.54643875923721,32.58462298690505,32.58237685586577,32.593607511062196,32.5778845937872,32.56890006963006,32.57563846274792,32.56440780755149,32.55766941443364,32.58686911794434,32.5486848902765,32.56440780755149,32.5486848902765,32.555423283394354,32.55317715235507,32.57114620066935,32.58237685586577,32.566653938590775,32.55766941443364,32.555423283394354,32.589115248983624,32.57339233170863,32.58686911794434,32.559915545472926,32.57563846274792,32.58462298690505,32.58462298690505,32.56440780755149,32.56890006963006,32.555423283394354,32.59136138002291,32.58686911794434,32.53071584196222,32.55766941443364,32.54643875923721
32.1039509444981,32.12865838593024,32.07250510994811,32.09272028930168,32.09721255138025,32.10844320657667,32.16459648255879,32.13988904112666,32.16235035151951,32.13764291008737,32.11518159969452,32.135396779048094,32.11742773073381,32.11068933761595,32.14213517216594,32.11293546865524,32.10844320657667,32.074751240987396,32.10844320657667,32.11742773073381,32.10619707553739,32.13315064800881,32.124166123851666,32.119673861773094,32.119673861773094,32.13764291008737,32.13090451696952,32.1488735652838,32.10170481345882,32.13988904112666,32.153365827362364,32.16459648255879,32.09496642034097,32.11293546865524,32.09945868241954,32.151119696323086,32.151119696323086,32.10844320657667,32.10619707553739,32.074751240987396
32.13988904112666,32.18705779295164,32.12865838593024,32.157858089440936,32.18256553087307,32.18930392399093,32.19828844814806,32.169088744637364,32.17582713775521,32.184811661912356,32.14213517216594,32.15561195840165,32.1780732687945,32.17133487567665,32.157858089440936,32.151119696323086,32.15561195840165,32.11518159969452,32.16459648255879,32.173581006715935,32.13764291008737,32.173581006715935,32.16010422048022,32.16010422048022,32.169088744637364,32.13090451696952,32.1937961860695,32.207272972305205,32.15561195840165,32.157858089440936,32.1937961860695,32.19155005503021,32.13988904112666,32.16459648255879,32.1488735652838,32.16684261359808,32.184811661912356,32.20502684126592,32.146627434244515,32.10170481345882
32.157858089440936,32.180319399833785,32.10844320657667,32.1780732687945,32.20053457918735,32.196042317108784,32.196042317108784,32.169088744637364,32.18256553087307,32.20502684126592,32.16010422048022,32.18256553087307,32.196042317108784,32.1780732687945,32.173581006715935,32.14438130320523,32.184811661912356,32.14438130320523,32.18705779295164,32.1780732687945,32.1488735652838,32.20502684126592,32.15561195840165,32.13764291008737,32.180319399833785,32.12865838593024,32.1780732687945,32.229734282698054,32.18705779295164,32.16459648255879,32.1937961860695,32.18705779295164,32.13764291008737,32.1780732687945,32.153365827362364,32.153365827362364,32.184811661912356,32.173581006715935,32.14438130320523,32.13315064800881
32.09945868241954,32.10844320657667,32.04330540643741,32.085981896183824,32.13764291008737,32.12191999281238,32.146627434244515,32.11068933761595,32.124166123851666,32.151119696323086,32.09945868241954,32.14213517216594,32.12191999281238,32.10619707553739,32.135396779048094,32.10619707553739,32.13090451696952,32.10170481345882,32.13090451696952,32.12865838593024,32.07924350306597,32.12641225489095,32.13764291008737,32.08373576514454,32.12641225489095,32.09945868241954,32.08373576514454,32.153365827362364,32.13090451696952,32.135396779048094,32.124166123851666,32.13315064800881,32.056782192673126,32.09496642034097,32.070258978908825,32.11518159969452,32.13988904112666,32.09721255138025,32.09496642034097,32.11742773073381
32.10170481345882,32.13315064800881,32.065766716830254,32.11742773073381,32.135396779048094,32.157858089440936,32.17133487567665,32.13315064800881,32.14438130320523,32.14213517216594,32.085981896183824,32.13988904112666,32.12191999281238,32.09272028930168,32.124166123851666,32.09945868241954,32.14213517216594,32.08373576514454,32.15561195840165,32.1488735652838,32.10619707553739,32.14213517216594,32.16235035151951,32.085981896183824,32.119673861773094,32.1039509444981,32.11293546865524,32.16010422048022,32.10844320657667,32.13090451696952,32.12641225489095,32.157858089440936,32.090474158262396,32.11518159969452,32.10619707553739,32.15561195840165,32.153365827362364,32.124166123851666,32.08822802722311,32.14213517216594
32.11518159969452,32.13988904112666,32.090474158262396,32.13988904112666,32.119673861773094,32.18256553087307,32.16459648255879,32.14213517216594,32.16235035151951,32.124166123851666,32.09496642034097,32.13988904112666,32.12865838593024,32.08822802722311,32.10619707553739,32.09945868241954,32.146627434244515,32.07250510994811,32.1780732687945,32.173581006715935,32.09721255138025,32.16459648255879,32.12865838593024,32.085981896183824,32.12191999281238,32.09272028930168,32.13988904112666,32.18256553087307,32.11293546865524,32.13315064800881,32.13090451696952,32.157858089440936,32.119673861773094,32.153365827362364,32.12865838593024,32.14213517216594,32.12865838593024,32.11293546865524,32.08148963410525,32.14438130320523
32.11518159969452,32.11293546865524,32.070258978908825,32.09272028930168,32.09945868241954,32.13315064800881,32.12641225489095,32.10619707553739,32.12865838593024,32.11293546865524,32.10844320657667,32.10170481345882,32.10844320657667,32.07699737202668,32.10170481345882,32.08148963410525,32.13764291008737,32.059028323712404,32.13764291008737,32.15561195840165,32.05004379955527,32.11293546865524,32.09945868241954,32.085981896183824,32.11293546865524,32.08822802722311,32.10844320657667,32.18256553087307,32.13090451696952,32.119673861773094,32.119673861773094,32.1039509444981,32.09272028930168,32.13315064800881,32.08373576514454,32.10619707553739,32.135396779048094,32.08148963410525,32.06801284786954,32.11293546865524
32.10170481345882,32.13315064800881,32.056782192673126,32.11293546865524,32.11518159969452,32.13315064800881,32.13764291008737,32.10619707553739,32.119673861773094,32.12191999281238,32.11518159969452,32.10170481345882,32.09496642034097,32.08148963410525,32.124166123851666,32.07699737202668,32.12191999281238,32.036567013319555,32.135396779048094,32.13988904112666,32.085981896183824,32.09496642034097,32.09496642034097,32.10170481345882,32.10844320657667,32.08373576514454,32.09272028930168,32.16010422048022,32.1039509444981,32.10844320657667,32.13315064800881,32.11518159969452,32.07250510994811,32.11293546865524,32.09496642034097,32.11742773073381,32.13988904112666,32.11293546865524,32.08148963410525,32.090474158262396
