Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
none,plot,off,off,off,0.042099,0.304882,0.368764,0.173661,0.200289,51.446576
bart,plot,off,off,off,0.022609,0.13042,0.32413,0.137184,0.180072,44.771205
bert,plot,off,off,off,0.043834,0.216352,0.452579,0.13,0.21797,41.084119
t5,plot,off,off,off,0.006508,0.107528,0.277571,0.089441,0.148699,51.168564
longformer_ext,plot,off,off,off,0.07576,0.213482,0.499525,0.194101,0.233618,45.230694
none,table,off,off,off,0.021184,0.271482,0.296468,0.115875,0.15692,42.289114
bart,table,off,off,off,0.036164,0.170102,0.394877,0.117647,0.198506,47.521479
bert,table,off,off,off,0.034163,0.207165,0.371409,0.113684,0.193413,28.637145
t5,table,off,off,off,0.003343,0.082138,0.209332,0.04804,0.103405,44.676144
longformer_ext,table,off,off,off,0.048877,0.165024,0.341509,0.10586,0.166038,32.954592
none,plot+table,off,off,off,0.034077,0.283541,0.299289,0.140051,0.155903,44.864262
bart,plot+table,off,off,off,0.02916,0.150877,0.363839,0.102908,0.180804,45.463655
bert,plot+table,off,off,off,0.04255,0.220525,0.412587,0.120448,0.191608,25.980828
t5,plot+table,off,off,off,0.008798,0.108667,0.281518,0.093252,0.161567,52.144286
longformer_ext,plot+table,off,off,off,0.025429,0.183885,0.368519,0.105751,0.162963,43.727103
none,plot,on,off,off,0.032072,0.279011,0.304348,0.135151,0.16058,46.728237
bart,plot,on,off,off,0.039217,0.168146,0.393701,0.128523,0.197975,53.7225
bert,plot,on,off,off,0.043591,0.266349,0.468023,0.138282,0.18314,34.297573
t5,plot,on,off,off,0.007005,0.127547,0.332542,0.07619,0.15677,53.860294
longformer_ext,plot,on,off,off,0.054038,0.198146,0.423006,0.128253,0.191095,42.807332
none,table,on,off,off,0.01537,0.237357,0.245243,0.086016,0.124031,42.595247
bart,table,on,off,off,0.041897,0.164109,0.364793,0.119022,0.178155,36.035297
bert,table,on,off,off,0.017778,0.234088,0.399235,0.117497,0.170918,26.909062
t5,table,on,off,off,0.012265,0.132071,0.327684,0.08154,0.149153,47.268763
longformer_ext,table,on,off,off,0.055245,0.19969,0.391881,0.107897,0.18267,44.156471
none,plot+table,on,off,off,0.027124,0.251742,0.245469,0.11384,0.130305,41.121822
bart,plot+table,on,off,off,0.060308,0.184945,0.407631,0.142857,0.188755,46.477476
bert,plot+table,on,off,off,0.032636,0.247404,0.403553,0.134689,0.170051,29.02108
t5,plot+table,on,off,off,0.020841,0.168201,0.384454,0.092632,0.180672,41.418582
longformer_ext,plot+table,on,off,off,0.070298,0.189336,0.394254,0.118305,0.173982,39.775306
none,plot,off,on,off,0.034186,0.30607,0.345564,0.157543,0.18479,42.295839
bart,plot,off,on,off,0.016779,0.103745,0.255474,0.095122,0.148418,31.81693
bert,plot,off,on,off,0.042843,0.218869,0.440522,0.135281,0.1934,29.503266
t5,plot,off,on,off,0.003792,0.088584,0.227097,0.072445,0.131613,47.654132
longformer_ext,plot,off,on,off,0.033964,0.183885,0.425926,0.115028,0.198148,47.743095
none,table,off,on,off,0.020073,0.256787,0.283651,0.112717,0.151935,37.578729
bart,table,off,on,off,0.031244,0.138972,0.338462,0.094714,0.184615,33.091841
bert,table,off,on,off,0.039112,0.241571,0.414886,0.143547,0.198484,27.067388
t5,table,off,on,off,0.021109,0.12724,0.32243,0.084309,0.147196,45.810412
longformer_ext,table,off,on,off,0.016948,0.160893,0.332717,0.074074,0.140481,33.573273
none,plot+table,off,on,off,0.029584,0.274489,0.286497,0.132639,0.151191,40.152941
bart,plot+table,off,on,off,0.02998,0.124516,0.287356,0.101382,0.158621,26.812863
bert,plot+table,off,on,off,0.040525,0.233418,0.417266,0.125737,0.184434,26.988028
t5,plot+table,off,on,off,0.008085,0.121653,0.284314,0.07371,0.137255,43.583571
longformer_ext,plot+table,off,on,off,0.056084,0.19588,0.414299,0.124885,0.175985,24.666716
none,plot,off,off,on,0.038423,0.318042,0.349613,0.167172,0.185921,41.488268
