mean [household-risk-att-init] of households,mean [household-risk-att-init] of households.1,mean [household-risk-att-init] of households.2,mean [household-risk-att-init] of households.3,mean [household-risk-att-init] of households.4,mean [household-risk-att-init] of households.5,mean [household-risk-att-init] of households.6,mean [household-risk-att-init] of households.7,mean [household-risk-att-init] of households.8,mean [household-risk-att-init] of households.9,mean [household-risk-att-init] of households.10,mean [household-risk-att-init] of households.11,mean [household-risk-att-init] of households.12,mean [household-risk-att-init] of households.13,mean [household-risk-att-init] of households.14,mean [household-risk-att-init] of households.15,mean [household-risk-att-init] of households.16,mean [household-risk-att-init] of households.17,mean [household-risk-att-init] of households.18,mean [household-risk-att-init] of households.19,mean [household-risk-att-init] of households.20,mean [household-risk-att-init] of households.21,mean [household-risk-att-init] of households.22,mean [household-risk-att-init] of households.23,mean [household-risk-att-init] of households.24,mean [household-risk-att-init] of households.25,mean [household-risk-att-init] of households.26,mean [household-risk-att-init] of households.27,mean [household-risk-att-init] of households.28,mean [household-risk-att-init] of households.29
0.075,0.045,0.0125,-0.0408333333333333,-0.1116666666666666,-0.0574999999999999,-0.0708333333333333,0.115,0.0725,0.1375,-0.0008333333333333334,-0.0599999999999999,3.700743415417189e-18,-0.0483333333333333,0.0375,-0.1116666666666666,0.0683333333333333,-0.0908333333333333,0.01,0.0525,-0.0925,-0.0141666666666666,0.1816666666666666,0.0108333333333333,0.1124999999999999,-0.0283333333333333,-0.0624999999999999,-0.0199999999999999,0.055,0.045
0.075,0.0449999999999999,0.0125,-0.0408333333333333,-0.1116666666666666,-0.0575,-0.0708333333333333,0.1149999999999999,0.0725,0.1375,-0.0008333333333333128,-0.06,-1.8503717077085946e-18,-0.0483333333333333,0.0375,-0.1116666666666666,0.0683333333333333,-0.0908333333333333,0.0099999999999999,0.0524999999999999,-0.0924999999999999,-0.0141666666666666,0.1816666666666667,0.0108333333333333,0.1125,-0.0283333333333333,-0.0624999999999999,-0.02,0.055,0.045
0.075,0.045,0.0125,-0.0408333333333333,-0.1116666666666666,-0.0575,-0.0708333333333333,0.1149999999999999,0.0725,0.1374999999999999,-0.0008333333333333415,-0.06,1.1102230246251566e-17,-0.0483333333333333,0.0375,-0.1116666666666666,0.0683333333333333,-0.0908333333333333,0.01,0.0524999999999999,-0.0925,-0.0141666666666666,0.1816666666666667,0.0108333333333333,0.1124999999999999,-0.0283333333333333,-0.0625,-0.0199999999999999,0.0549999999999999,0.045
0.075,0.045,0.0125,-0.0408333333333333,-0.1116666666666666,-0.0574999999999999,-0.0708333333333333,0.115,0.0725,0.1374999999999999,-0.0008333333333333397,-0.06,1.572815951552305e-17,-0.0483333333333333,0.0374999999999999,-0.1116666666666666,0.0683333333333332,-0.0908333333333333,0.0099999999999999,0.0524999999999999,-0.0924999999999999,-0.0141666666666666,0.1816666666666667,0.0108333333333333,0.1124999999999999,-0.0283333333333333,-0.0625,-0.02,0.0549999999999999,0.045
0.0749999999999999,0.0449999999999999,0.0125,-0.0408333333333333,-0.1116666666666666,-0.0575,-0.0708333333333333,0.1149999999999999,0.0725,0.1375,-0.0008333333333333507,-0.06,1.8503717077085946e-18,-0.0483333333333333,0.0375,-0.1116666666666666,0.0683333333333333,-0.0908333333333333,0.01,0.0525,-0.0924999999999999,-0.0141666666666666,0.1816666666666666,0.0108333333333333,0.1125,-0.0283333333333333,-0.0625,-0.0199999999999999,0.0549999999999999,0.045
0.0749999999999999,0.045,0.0124999999999999,-0.0408333333333333,-0.1116666666666667,-0.0575,-0.0708333333333333,0.115,0.0725,0.1375,-0.0008333333333333397,-0.06,0.0,-0.0483333333333333,0.0375,-0.1116666666666666,0.0683333333333333,-0.0908333333333333,0.01,0.0525,-0.0925,-0.0141666666666666,0.1816666666666666,0.0108333333333333,0.1125,-0.0283333333333333,-0.0625,-0.02,0.055,0.045
0.0749999999999999,0.045,0.0125,-0.0408333333333333,-0.1116666666666666,-0.0575,-0.0708333333333333,0.1149999999999999,0.0725,0.1375,-0.0008333333333333377,-0.06,-1.1102230246251566e-17,-0.0483333333333333,0.0375,-0.1116666666666666,0.0683333333333333,-0.0908333333333333,0.0099999999999999,0.0525,-0.0924999999999999,-0.0141666666666666,0.1816666666666666,0.0108333333333333,0.1124999999999999,-0.0283333333333333,-0.0624999999999999,-0.02,0.0549999999999999,0.0449999999999999
0.075,0.0449999999999999,0.0124999999999999,-0.0408333333333333,-0.1116666666666666,-0.0575,-0.0708333333333333,0.115,0.0725,0.1374999999999999,-0.000833333333333334,-0.06,-9.251858538542969e-18,-0.0483333333333333,0.0375,-0.1116666666666666,0.0683333333333333,-0.0908333333333333,0.0099999999999999,0.0525,-0.0925,-0.0141666666666666,0.1816666666666666,0.0108333333333333,0.1125,-0.0283333333333333,-0.0625,-0.02,0.0549999999999999,0.045
0.0749999999999999,0.045,0.0124999999999999,-0.0408333333333333,-0.1116666666666666,-0.0574999999999999,-0.0708333333333333,0.1149999999999999,0.0725,0.1374999999999999,-0.0008333333333333442,-0.06,8.326672684688674e-18,-0.0483333333333333,0.0375,-0.1116666666666666,0.0683333333333333,-0.0908333333333333,0.01,0.0525,-0.0925,-0.0141666666666666,0.1816666666666667,0.0108333333333333,0.1124999999999999,-0.0283333333333333,-0.0624999999999999,-0.02,0.055,0.0449999999999999
0.075,0.045,0.0125,-0.0408333333333333,-0.1116666666666667,-0.0575,-0.0708333333333333,0.115,0.0725,0.1375,-0.0008333333333333438,-0.0599999999999999,-1.295260195396016e-17,-0.0483333333333333,0.0375,-0.1116666666666666,0.0683333333333333,-0.0908333333333333,0.0099999999999999,0.0524999999999999,-0.0924999999999999,-0.0141666666666666,0.1816666666666667,0.0108333333333333,0.1124999999999999,-0.0283333333333333,-0.0625,-0.02,0.055,0.045
0.075,0.045,0.0125,-0.0408333333333333,-0.1116666666666666,-0.0574999999999999,-0.0708333333333333,0.115,0.0725,0.1374999999999999,-0.0008333333333333366,-0.06,-9.251858538542973e-19,-0.0483333333333333,0.0375,-0.1116666666666666,0.0683333333333332,-0.0908333333333333,0.0099999999999999,0.0525,-0.0925,-0.0141666666666666,0.1816666666666666,0.0108333333333333,0.1124999999999999,-0.0283333333333333,-0.0625,-0.0199999999999999,0.0549999999999999,0.045
0.075,0.045,0.0125,-0.0408333333333333,-0.1116666666666666,-0.0575,-0.0708333333333333,0.1149999999999999,0.0725,0.1375,-0.0008333333333333248,-0.06,3.700743415417189e-18,-0.0483333333333333,0.0375,-0.1116666666666666,0.0683333333333333,-0.0908333333333333,0.0099999999999999,0.0525,-0.0924999999999999,-0.0141666666666666,0.1816666666666666,0.0108333333333333,0.1125,-0.0283333333333333,-0.0625,-0.0199999999999999,0.055,0.045
0.075,0.045,0.0124999999999999,-0.0408333333333333,-0.1116666666666666,-0.0575,-0.0708333333333333,0.115,0.0725,0.1374999999999999,-0.0008333333333333452,-0.0599999999999999,1.8503717077085946e-18,-0.0483333333333333,0.0375,-0.1116666666666666,0.0683333333333333,-0.0908333333333333,0.01,0.0524999999999999,-0.0925,-0.0141666666666666,0.1816666666666666,0.0108333333333333,0.1125,-0.0283333333333333,-0.0625,-0.02,0.055,0.0449999999999999
0.075,0.045,0.0124999999999999,-0.0408333333333333,-0.1116666666666666,-0.0574999999999999,-0.0708333333333333,0.1149999999999999,0.0724999999999999,0.1375,-0.0008333333333333415,-0.06,-2.405483220021173e-17,-0.0483333333333333,0.0375,-0.1116666666666667,0.0683333333333332,-0.0908333333333333,0.0099999999999999,0.0525,-0.0925,-0.0141666666666666,0.1816666666666667,0.0108333333333333,0.1125,-0.0283333333333333,-0.0625,-0.02,0.055,0.045
0.075,0.045,0.0124999999999999,-0.0408333333333333,-0.1116666666666667,-0.0575,-0.0708333333333332,0.115,0.0725,0.1375,-0.0008333333333333489,-0.06,-9.251858538542973e-19,-0.0483333333333333,0.0374999999999999,-0.1116666666666666,0.0683333333333333,-0.0908333333333333,0.0099999999999999,0.0524999999999999,-0.0925,-0.0141666666666666,0.1816666666666667,0.0108333333333333,0.1124999999999999,-0.0283333333333333,-0.0624999999999999,-0.0199999999999999,0.055,0.045
