Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Example,0.10182134,0.16908978,0.00869608,0.36444364,0.00421118,1.97436099
Evidence,0.13075888,0.00913871,0.10297147,1.70691073,0.27647451,0.76065158
Evidence_AND_Example,0.28708063,0.17894081,0.11266993,2.07716399,0.28623400,2.76212229
Evidence_AND_Insights,0.70055589,0.10466609,0.17457299,2.53393728,0.54702166,4.99731800
Evidence_AND_Role,0.22797373,0.01198604,0.12677994,1.78387007,0.32303350,1.69003151
Insights,0.53771739,0.03580261,0.05510142,0.81822472,0.26357252,4.20823642
Insights_AND_Example,0.66882932,0.20619839,0.06716387,1.19257279,0.26805841,6.27191210
Role,0.02116850,0.00173446,0.01860823,0.02968265,0.04276530,0.64967277
Role_AND_Example,0.52335503,0.17446278,0.04429848,0.63385437,0.09532452,2.68053277
Role_AND_Insights,0.61617833,0.03755591,0.07750809,0.98188636,0.33562381,4.87531677
Summarizer,17.99134466,19.41987984,19.67155940,16.49040494,19.21457760,11.46542994
Summarizer_AND_Example,18.32295967,19.67818966,19.73986612,16.99629095,19.26742432,14.19253382
Summarizer_AND_Evidence,20.10931838,19.93173847,19.99918902,19.16565381,19.78533214,12.48905546
Summarizer_AND_Insights,19.72667971,19.81324666,19.81820939,17.60473235,19.56342355,16.01827877
Summarizer_AND_Role,20.03425854,20.22736979,19.98280556,17.62037135,19.72692299,14.96454682
