Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Example,0.02851381,0.05088946,0.14971036,0.06615147,0.05283776,2.01686927
Evidence,0.12005686,0.00747905,0.25069463,1.19692488,0.95115999,0.86018012
Evidence_AND_Example,0.18309223,0.05871450,0.40647476,1.28851632,1.06878674,2.89483830
Evidence_AND_Insights,0.27978414,0.02159987,0.41414952,1.56537596,1.97445937,5.17183302
Evidence_AND_Role,0.23269738,0.01914905,0.27305101,1.24937566,1.14262594,1.78833845
Insights,0.13271183,0.00007656,0.10973047,0.36591828,0.98034492,4.28663330
Insights_AND_Example,0.16840423,0.05120386,0.26373431,0.44089574,1.03626986,6.39530627
Role,0.07676214,0.01044490,0.00089392,0.03525367,0.14046767,0.64331806
Role_AND_Example,0.18179920,0.06325639,0.18028456,0.14309436,0.31420269,2.72415462
Role_AND_Insights,0.23438818,0.01053312,0.11918618,0.44217192,1.22168219,4.95194323
Summarizer,18.96648084,19.81234525,18.74598672,17.79425236,16.38542473,11.22791038
Summarizer_AND_Example,19.16177237,19.88035526,19.07096043,17.92903757,16.62183952,14.12813587
Summarizer_AND_Evidence,20.17611675,19.98902219,20.23752717,20.06896441,19.75020678,12.32693908
Summarizer_AND_Insights,19.76379315,19.92846363,19.47985781,18.50732970,18.26784295,15.88093012
Summarizer_AND_Role,20.29362689,20.09646690,20.29775814,18.90673770,20.09184888,14.70266990
