mean [choice-function-deviation] of turtles,mean [choice-function-deviation] of turtles.1,mean [choice-function-deviation] of turtles.2,mean [choice-function-deviation] of turtles.3,mean [choice-function-deviation] of turtles.4,mean [choice-function-deviation] of turtles.5,mean [choice-function-deviation] of turtles.6,mean [choice-function-deviation] of turtles.7,mean [choice-function-deviation] of turtles.8,mean [choice-function-deviation] of turtles.9,mean [choice-function-deviation] of turtles.10,mean [choice-function-deviation] of turtles.11,mean [choice-function-deviation] of turtles.12,mean [choice-function-deviation] of turtles.13,mean [choice-function-deviation] of turtles.14,mean [choice-function-deviation] of turtles.15,mean [choice-function-deviation] of turtles.16,mean [choice-function-deviation] of turtles.17,mean [choice-function-deviation] of turtles.18,mean [choice-function-deviation] of turtles.19,mean [choice-function-deviation] of turtles.20,mean [choice-function-deviation] of turtles.21,mean [choice-function-deviation] of turtles.22,mean [choice-function-deviation] of turtles.23,mean [choice-function-deviation] of turtles.24,mean [choice-function-deviation] of turtles.25,mean [choice-function-deviation] of turtles.26,mean [choice-function-deviation] of turtles.27,mean [choice-function-deviation] of turtles.28,mean [choice-function-deviation] of turtles.29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2948926445114053,0.2881262344883968,0.2782327477665644,0.293016926043784,0.2879364588665996,0.285099134750596,0.3007849189656142,0.2961161421832842,0.3146732740506348,0.2952694000540377,0.2969012986914325,0.2946835766199782,0.2957728009759113,0.294234993269334,0.2907934620338145,0.2998224078432726,0.2956036436359393,0.3126560687001766,0.2994807936331649,0.2991410245421615,0.2704110985623406,0.3026773718542,0.2935834322622679,0.272341765960796,0.3165502910005597,0.2902855569285789,0.2979973458317888,0.2912005797792494,0.3005816131282572,0.301667547672175
0.437732657951536,0.4422754875876837,0.4436711599533648,0.4431650228184394,0.4432515841531464,0.4462875245480351,0.4632416359537282,0.4636125670236123,0.4653492465209227,0.4563303713016851,0.4514513876575202,0.4423253771519041,0.445650853585644,0.4360381621906068,0.435255847099957,0.4503962663297787,0.4457418365567382,0.4452300060434546,0.4423214129557889,0.4298713267543809,0.42765877240596,0.4493903937801325,0.4388461376449493,0.4380401135867089,0.4638355175859813,0.438396101336978,0.4539122666458573,0.4484086065507159,0.4519054017774409,0.4527572197721367
0.5184142277808163,0.5184312461486994,0.5291677735925431,0.5238742175171989,0.5256377001253146,0.5215169826977765,0.5273781678219138,0.5315673771642144,0.5344826325728121,0.5299880287248734,0.5346218877756072,0.5202065199175147,0.5296701347259544,0.5156294140459275,0.517146425586532,0.523699482924824,0.5284269615262697,0.527062071871381,0.527087424649374,0.5188214560678176,0.5120944884231997,0.5213262688967745,0.524503144624622,0.5156760104239588,0.5294734803378495,0.5282283100433077,0.5295722778210511,0.5247658317492346,0.5234879385063727,0.5304343241555319
0.5565617051198766,0.5595582272001709,0.5616816581269176,0.5628759668901651,0.5660427922113292,0.5641550579658569,0.5649686827861986,0.5672869878464382,0.5702290041492568,0.563570520428883,0.5710795463151759,0.5594891359783867,0.5609840144470016,0.5594861918115447,0.557680992229619,0.5626534607547965,0.5600332896149858,0.5641476542769316,0.5600067491084255,0.5584112921483986,0.5597743470102141,0.5667388503702487,0.5594666811756731,0.5582445380407116,0.5682277046378763,0.5638617104651915,0.560306168449993,0.5609576696033862,0.5621465669105609,0.5669381519966156
0.5745569586551943,0.5821934325897579,0.5830585094211507,0.5843954169916048,0.5846098671376562,0.5825530093076744,0.5831405744345728,0.584512155925706,0.588953105156522,0.5842062864486454,0.5891449683989417,0.5810016417689726,0.5808728774142987,0.5853136866866596,0.5769703223221408,0.5813157293220743,0.5806478486335759,0.5878074796034377,0.5803343642920835,0.5775370399613968,0.5814374310150694,0.58587637483516,0.582717501531309,0.5796638805519598,0.5850618486555654,0.5843027173017155,0.5801532033363997,0.5841838127161829,0.5838997090624539,0.5869477826954647
0.5825180341519429,0.5931767555740726,0.5943016420301632,0.5977909507433149,0.5943306106272614,0.5957512889868292,0.5923739444233591,0.5976649461532765,0.5972644175909717,0.5971932344740917,0.5970082849478684,0.5909198208456995,0.5957957074742214,0.5983458208516135,0.5885607358502449,0.5953534449111239,0.5927559544423079,0.5953467051305515,0.5928380073555016,0.5886819253554588,0.5932591830955526,0.5939241700390242,0.593525312319414,0.5929964017465382,0.5929774017355315,0.5963401732766547,0.5909280007060544,0.5931537033045143,0.5959016658858751,0.5976733226235833
0.596773658588043,0.6012282427323106,0.5989941375351223,0.6018094758051574,0.6000206376693734,0.6040999889284538,0.5978446427011996,0.6054159559987173,0.5999003155339778,0.6024004301718091,0.6028416213737201,0.598185313292009,0.6038515547685905,0.6029039767642197,0.5963898585294722,0.601934914160201,0.6007978918559327,0.6015058712725866,0.599485160942265,0.5983927934026172,0.602644387106912,0.6015957454143656,0.6006988898666037,0.5994052357531696,0.6018590265022685,0.6015288056232546,0.5982253766443227,0.6011992937977801,0.6014889679658755,0.6020966988767983
0.6042926735948034,0.6071485491599418,0.6054691230954972,0.6070517311124614,0.6055101295622292,0.6066983144635433,0.6041494101713559,0.6096388721160126,0.6061319245333708,0.6075901027907802,0.6060428823822878,0.604282929400689,0.6084533220543863,0.6067378113833856,0.6038000591924294,0.6057277345262119,0.6069982523673001,0.6058476408645206,0.6057431944445668,0.6041433562151206,0.6067666060668863,0.6074069087364583,0.6054658451071777,0.6055469779171792,0.6078401459967087,0.604978278155413,0.6055761425249304,0.6077642539573285,0.6062037231684919,0.6084103937316374
0.6109658398990118,0.6126445241751687,0.6133525971604384,0.6132970924818864,0.6106196219365118,0.6124556321182392,0.6099568475956347,0.6167610399273179,0.6151029728355135,0.6143386736942588,0.6137050148028466,0.6127554629795695,0.6150714032602869,0.6125226740103374,0.6131642769171702,0.6118500623232019,0.611709556343054,0.6129500125406439,0.6122277473247892,0.609759487178846,0.6124315351757484,0.6142721720981581,0.6109761761732025,0.6128654650104509,0.6126163207965928,0.6094604965078559,0.6108158105840492,0.61346814319238,0.6113274531748355,0.6121601154619515
