Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
bart,plot,off,on,off,0.015191,0.233368,0.421053,0.083897,0.17274,16.661918
bart,plot,off,on,off,0.009666,0.152778,0.372011,0.060337,0.152347,16.661918
bart,plot,off,on,off,0.023133,0.22498,0.457447,0.102345,0.17234,16.661918
bert,plot,off,on,off,0.007506,0.275611,0.283791,0.052779,0.108805,-3.509089
bert,plot,off,on,off,0.017026,0.278708,0.423768,0.075611,0.14924,-3.509089
bert,plot,off,on,off,0.009827,0.27401,0.369324,0.078788,0.130172,-3.509089
t5,plot,off,on,off,0.019568,0.245808,0.434415,0.076379,0.163611,10.835
t5,plot,off,on,off,0.010954,0.136401,0.350046,0.043836,0.153145,10.835
t5,plot,off,on,off,0.026968,0.1904,0.436123,0.06181,0.167401,10.835
longformer_ext,plot,off,on,off,0.018022,0.21516,0.372093,0.053988,0.124847,-3.529899
longformer_ext,plot,off,on,off,0.01389,0.122968,0.307054,0.0399,0.121162,-3.529899
longformer_ext,plot,off,on,off,0.015792,0.174834,0.36811,0.059172,0.110236,-3.529899
bart,table,off,on,off,0.010307,0.246618,0.375536,0.060215,0.145923,3.12551
bart,table,off,on,off,0.021006,0.171951,0.384848,0.056146,0.159091,3.12551
bart,table,off,on,off,0.027321,0.2132,0.410256,0.08326,0.155615,3.12551
bert,table,off,on,off,0.003266,0.245385,0.209462,0.030757,0.081682,-3.317693
bert,table,off,on,off,0.011833,0.26937,0.334149,0.055964,0.12583,-3.317693
bert,table,off,on,off,0.007088,0.259333,0.287425,0.05618,0.095808,-3.317693
t5,table,off,on,off,0.015513,0.26847,0.38273,0.077193,0.147025,5.93119
t5,table,off,on,off,0.0209,0.151171,0.330924,0.054706,0.142972,5.93119
t5,table,off,on,off,0.050146,0.230526,0.405303,0.089184,0.149621,5.93119
longformer_ext,table,off,on,off,0.005705,0.153137,0.258974,0.023136,0.107692,20.114555
longformer_ext,table,off,on,off,0.007242,0.104537,0.25,0.03259,0.118151,20.114555
longformer_ext,table,off,on,off,0.006788,0.134792,0.273749,0.042989,0.096016,20.114555
bart,plot+table,off,on,off,0.018654,0.237071,0.406139,0.08284,0.153483,17.607869
bart,plot+table,off,on,off,0.025629,0.155118,0.37085,0.074615,0.153846,17.607869
bart,plot+table,off,on,off,0.019769,0.212868,0.441683,0.070881,0.160612,17.607869
bert,plot+table,off,on,off,0.008795,0.246944,0.218935,0.049915,0.087912,-3.12363
bert,plot+table,off,on,off,0.015479,0.266505,0.354394,0.070494,0.138707,-3.12363
bert,plot+table,off,on,off,0.005544,0.249901,0.293957,0.071011,0.099805,-3.12363
t5,plot+table,off,on,off,0.022002,0.259793,0.421053,0.081535,0.148325,14.818764
t5,plot+table,off,on,off,0.013829,0.154753,0.370915,0.06874,0.163399,14.818764
t5,plot+table,off,on,off,0.033364,0.222755,0.43285,0.063892,0.156522,14.818764
longformer_ext,plot+table,off,on,off,0.011995,0.2004,0.257475,0.03827,0.093023,-34.661915
longformer_ext,plot+table,off,on,off,0.012057,0.150144,0.312814,0.042767,0.125628,-34.661915
longformer_ext,plot+table,off,on,off,0.011575,0.192931,0.306486,0.044254,0.106914,-34.661915
bart,plot,off,off,on,0.029182,0.257241,0.482353,0.123894,0.197059,28.171486
bart,plot,off,off,on,0.02005,0.145283,0.376404,0.091932,0.155431,28.171486
bart,plot,off,off,on,0.034768,0.191504,0.461889,0.111745,0.182025,28.171486
bert,plot,off,off,on,0.007253,0.282177,0.324718,0.067684,0.117959,1.032115
bert,plot,off,off,on,0.019989,0.278189,0.443859,0.082322,0.161307,1.032115
bert,plot,off,off,on,0.012191,0.281511,0.406323,0.087925,0.125293,1.032115
t5,plot,off,off,on,0.046716,0.231277,0.446841,0.126739,0.187982,16.876765
t5,plot,off,off,on,0.017484,0.132325,0.322083,0.085024,0.154291,16.876765
t5,plot,off,off,on,0.037019,0.210624,0.441038,0.115839,0.165094,16.876765
longformer_ext,plot,off,off,on,0.011885,0.161706,0.341216,0.057627,0.148649,20.921847
longformer_ext,plot,off,off,on,0.004956,0.09678,0.269388,0.05726,0.140816,20.921847
longformer_ext,plot,off,off,on,0.00773,0.139078,0.369153,0.068441,0.144121,20.921847
bart,table,off,off,on,0.019232,0.225379,0.407514,0.075362,0.17341,14.945832
bart,table,off,off,on,0.017402,0.129172,0.32037,0.064935,0.161111,14.945832
bart,table,off,off,on,0.032374,0.19193,0.439955,0.092238,0.184063,14.945832
bert,table,off,off,on,0.003974,0.262052,0.276923,0.040665,0.107077,0.902565
bert,table,off,off,on,0.022112,0.26641,0.403378,0.066634,0.155986,0.902565
bert,table,off,off,on,0.009645,0.268839,0.370614,0.069155,0.118421,0.902565
t5,table,off,off,on,0.020834,0.222534,0.413793,0.089337,0.172414,8.975596
t5,table,off,off,on,0.015644,0.123109,0.313653,0.053604,0.149446,8.975596
t5,table,off,off,on,0.041503,0.175069,0.404469,0.089586,0.165363,8.975596
longformer_ext,table,off,off,on,0.0,0.010194,0.022831,0.004587,0.018265,-753.355
longformer_ext,table,off,off,on,0.0,0.006322,0.01937,0.002427,0.012107,-753.355
longformer_ext,table,off,off,on,0.0,0.008531,0.018838,0.0,0.018838,-753.355
bart,plot+table,off,off,on,0.017745,0.261473,0.439086,0.096692,0.177665,16.104468
bart,plot+table,off,off,on,0.029787,0.168999,0.408163,0.091993,0.181973,16.104468
bart,plot+table,off,off,on,0.034455,0.244846,0.486322,0.109645,0.18845,16.104468
bert,plot+table,off,off,on,0.00724,0.272511,0.276128,0.048458,0.10451,3.166697
bert,plot+table,off,off,on,0.019611,0.287473,0.423391,0.082577,0.149592,3.166697
bert,plot+table,off,off,on,0.010138,0.284956,0.366882,0.074442,0.12593,3.166697
t5,plot+table,off,off,on,0.024184,0.227555,0.394453,0.1051,0.172573,13.793962
t5,plot+table,off,off,on,0.016924,0.134879,0.31244,0.077295,0.148505,13.793962
t5,plot+table,off,off,on,0.031032,0.185838,0.415094,0.080378,0.17217,13.793962
