Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
bart,plot,off,on,on,0.023567,0.266453,0.410714,0.086957,0.178571,14.174755
bert,plot,off,on,on,0.006882,0.254776,0.269536,0.043084,0.100793,-5.140817
t5,plot,off,on,on,0.019351,0.207861,0.367288,0.07482,0.146341,1.283607
longformer_ext,plot,off,on,on,0.013934,0.238344,0.353939,0.065614,0.130909,6.034413
bart,table,off,on,on,0.013192,0.233661,0.37609,0.069913,0.154421,14.847167
bert,table,off,on,on,0.005895,0.250564,0.223816,0.036381,0.089909,-11.367215
t5,table,off,on,on,0.016818,0.269148,0.432234,0.073439,0.166056,5.086152
longformer_ext,table,off,on,on,0.010297,0.198567,0.303103,0.028708,0.121718,6.836334
bart,plot+table,off,on,on,0.018234,0.254696,0.438188,0.078528,0.171359,18.139231
bert,plot+table,off,on,on,0.012263,0.2852,0.244879,0.049595,0.087661,-4.647727
t5,plot+table,off,on,on,0.016225,0.259973,0.4,0.086294,0.162025,15.403529
longformer_ext,plot+table,off,on,on,0.010284,0.205876,0.349166,0.030888,0.115533,10.256345
bart,plot,on,on,on,0.021072,0.293053,0.452467,0.091677,0.170878,20.088685
bert,plot,on,on,on,0.007171,0.274869,0.25847,0.051357,0.100678,-6.17608
t5,plot,on,on,on,0.009076,0.211852,0.394218,0.031621,0.134034,9.785245
longformer_ext,plot,on,on,on,0.006886,0.235118,0.349835,0.041896,0.138614,17.751973
bart,table,on,on,on,0.013922,0.252205,0.419534,0.062291,0.153163,7.824178
bert,table,on,on,on,0.003684,0.222974,0.222033,0.040017,0.092726,0.822857
t5,table,on,on,on,0.007061,0.201913,0.358354,0.041262,0.125908,26.14094
longformer_ext,table,on,on,on,0.015095,0.228984,0.339093,0.047619,0.131749,2.763562
bart,plot+table,on,on,on,0.018884,0.246202,0.421314,0.067081,0.156134,12.877226
bert,plot+table,on,on,on,0.0061,0.261144,0.257196,0.04461,0.09935,-2.870469
t5,plot+table,on,on,on,0.01421,0.233392,0.418733,0.041436,0.151515,10.747879
longformer_ext,plot+table,on,on,on,0.01003,0.208804,0.375169,0.054127,0.14305,25.071613
bart,plot,off,off,off,0.016016,0.24021,0.438395,0.091954,0.169054,16.052102
bert,plot,off,off,off,0.007767,0.275619,0.309252,0.049492,0.116603,5.428309
t5,plot,off,off,off,0.023303,0.236563,0.445122,0.094801,0.182927,20.683144
longformer_ext,plot,off,off,off,0.007357,0.162482,0.276923,0.041131,0.133333,21.638759
bart,table,off,off,off,0.016374,0.266288,0.431981,0.086124,0.169451,3.05489
bert,table,off,off,off,0.003245,0.248545,0.245984,0.044221,0.099398,1.557616
t5,table,off,off,off,0.017113,0.277244,0.425216,0.081784,0.182942,10.626831
longformer_ext,table,off,off,off,0.005669,0.220611,0.344444,0.033408,0.142222,-1.912254
bart,plot+table,off,off,off,0.024106,0.246034,0.470109,0.087193,0.1875,25.634548
bert,plot+table,off,off,off,0.007637,0.265955,0.291206,0.053644,0.10134,0.244855
t5,plot+table,off,off,off,0.020464,0.237901,0.424427,0.098009,0.180153,21.695308
longformer_ext,plot+table,off,off,off,0.007059,0.182239,0.324594,0.032541,0.129838,37.490518
bart,plot,on,off,off,0.022015,0.245115,0.459016,0.068493,0.161202,17.998684
bert,plot,on,off,off,0.011678,0.264516,0.296832,0.050083,0.113396,-2.611326
t5,plot,on,off,off,0.008994,0.183755,0.410876,0.027273,0.135952,20.398812
longformer_ext,plot,on,off,off,0.016869,0.273648,0.377122,0.064458,0.13941,8.614906
bart,table,on,off,off,0.010328,0.207563,0.409341,0.055096,0.153846,9.153436
bert,table,on,off,off,0.007581,0.228059,0.258239,0.046512,0.098325,1.009198
t5,table,on,off,off,0.008684,0.172983,0.344729,0.028571,0.131054,16.919236
longformer_ext,table,on,off,off,0.00653,0.199876,0.274354,0.043825,0.10338,-2.319977
bart,plot+table,on,off,off,0.019312,0.256358,0.444444,0.082603,0.157303,16.492422
bert,plot+table,on,off,off,0.004307,0.253844,0.256167,0.047483,0.098672,7.630695
t5,plot+table,on,off,off,0.008182,0.186093,0.374026,0.036458,0.14026,29.967883
longformer_ext,plot+table,on,off,off,0.008287,0.232999,0.371179,0.063457,0.146288,28.652996
bart,plot,off,on,off,0.034961,0.222561,0.408276,0.080221,0.162759,11.311028
bert,plot,off,on,off,0.006108,0.275913,0.288145,0.048836,0.104368,-2.132851
t5,plot,off,on,off,0.037992,0.232079,0.414307,0.086697,0.181818,1.016056
