Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Example,0.02995853,0.15163480,0.20904965,0.00712551,0.01244459,1.99690804
Evidence,0.78656643,0.18064979,0.02166241,2.80509924,0.47570180,1.52919220
Evidence_AND_Example,0.91946039,0.34866971,0.25579727,2.83078453,0.49658139,3.64825559
Evidence_AND_Insights,0.86252605,0.30921651,0.35421898,3.72963286,1.39036225,6.49530993
Evidence_AND_Role,0.81795005,0.48017254,0.19169718,2.95596298,0.66556184,2.55004834
Insights,0.01273595,0.00058743,0.08731289,0.86131186,0.75588456,4.92892679
Insights_AND_Example,0.14121402,0.16584251,0.32722688,0.86844156,0.81936582,7.05475736
Role,0.00028133,0.28584541,0.14490997,0.09635847,0.06136711,0.61499756
Role_AND_Example,0.06915840,0.46876822,0.44909907,0.17404693,0.22972429,2.75501862
Role_AND_Insights,0.03416530,0.28670906,0.25899849,1.07983018,1.03651319,5.61866579
Summarizer,18.39292331,18.82620274,18.26884017,15.28090952,16.87136768,9.25174721
Summarizer_AND_Example,18.70908727,19.11470984,18.80447461,15.69879529,17.36563043,13.56226525
Summarizer_AND_Evidence,19.98169532,19.25538597,19.26242287,19.36064836,19.08185173,11.07450707
Summarizer_AND_Insights,18.97172048,19.27981831,19.03692749,16.59928778,18.42719983,14.84934961
Summarizer_AND_Role,20.27055718,20.84578716,22.32736209,17.65176493,22.31044350,14.07005063
