Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
bart,plot,off,on,off,0.00719,0.168752,0.365422,0.071006,0.165029,25.339375
bert,plot,off,on,off,0.00981,0.260247,0.386572,0.087666,0.162767,22.549474
longformer_ext,plot,off,on,off,0.013165,0.218139,0.360053,0.065876,0.165572,20.649877
t5,plot,off,on,off,0.006849,0.173407,0.345098,0.066929,0.160784,21.361627
bart,plot,off,on,off,0.02398,0.170527,0.386525,0.120996,0.184397,22.370588
bert,plot,off,on,off,0.032672,0.276346,0.488625,0.12884,0.185955,33.702247
longformer_ext,plot,off,on,off,0.023985,0.240311,0.465174,0.102244,0.189055,21.738931
t5,plot,off,on,off,0.01219,0.181169,0.405104,0.0832,0.172249,23.121681
bart,plot,off,on,off,0.007974,0.112636,0.320293,0.122549,0.168704,43.339949
bert,plot,off,on,off,0.067749,0.304157,0.606198,0.177139,0.223734,29.023588
longformer_ext,plot,off,on,off,0.060201,0.2158,0.516068,0.181818,0.21172,34.360238
t5,plot,off,on,off,0.01006,0.117811,0.310633,0.102994,0.164875,52.21058
bart,table,off,on,off,0.022239,0.199735,0.4,0.085526,0.167213,22.203114
bert,table,off,on,off,0.008961,0.257603,0.317337,0.060465,0.117647,13.937084
longformer_ext,table,off,on,off,0.007971,0.222817,0.305122,0.064732,0.146993,26.071629
t5,table,off,on,off,0.007737,0.154963,0.347015,0.059925,0.156716,31.381538
bart,table,off,on,off,0.02105,0.167395,0.374603,0.085987,0.177778,30.891304
bert,table,off,on,off,0.019734,0.247642,0.377778,0.109589,0.148718,20.799841
longformer_ext,table,off,on,off,0.01577,0.24083,0.470149,0.087282,0.179104,26.761667
t5,table,off,on,off,0.005841,0.13674,0.3058,0.063492,0.147627,23.214592
bart,table,off,on,off,0.018178,0.129198,0.354515,0.102793,0.180602,47.443517
bert,table,off,on,off,0.064702,0.315527,0.541373,0.151574,0.209108,20.449353
longformer_ext,table,off,on,off,0.039733,0.184128,0.47001,0.155665,0.208456,39.923521
t5,table,off,on,off,0.0036,0.093935,0.267157,0.088452,0.14951,42.870214
bart,plot+table,off,on,off,0.010077,0.200808,0.420863,0.083032,0.190647,28.54743
bert,plot+table,off,on,off,0.014913,0.264175,0.377033,0.080537,0.147368,19.940166
longformer_ext,plot+table,off,on,off,0.014612,0.230655,0.366158,0.058414,0.147018,21.397648
t5,plot+table,off,on,off,0.012881,0.194158,0.408163,0.074488,0.19295,30.600205
bart,plot+table,off,on,off,0.024688,0.186943,0.365631,0.13945,0.193784,32.782
bert,plot+table,off,on,off,0.034356,0.305028,0.478431,0.139489,0.2,28.420998
longformer_ext,plot+table,off,on,off,0.036714,0.257976,0.479087,0.134689,0.212928,29.880733
