Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
bart,plot,off,off,off,0.002219,0.073915,0.234513,0.055432,0.132743,25.0585
bert,plot,off,off,off,0.049266,0.220725,0.467207,0.118081,0.193073,31.106287
longformer_ext,plot,off,off,off,0.012937,0.146366,0.387846,0.102059,0.176944,14.553863
t5,plot,off,off,off,0.000817,0.066541,0.195853,0.048499,0.119816,37.110696
bart,plot,off,off,off,0.017811,0.124243,0.327751,0.117506,0.179426,56.09558
bert,plot,off,off,off,0.057884,0.256318,0.533884,0.172185,0.22314,37.230228
longformer_ext,plot,off,off,off,0.049664,0.203957,0.505184,0.147309,0.216777,57.647439
t5,plot,off,off,off,0.005008,0.083543,0.245478,0.098446,0.157623,59.4643
bart,table,off,off,off,0.004942,0.109025,0.293542,0.052941,0.148728,15.984319
bert,table,off,off,off,0.034084,0.249279,0.425132,0.076426,0.163241,22.609972
longformer_ext,table,off,off,off,0.012371,0.159729,0.397318,0.055416,0.176027,24.141471
t5,table,off,off,off,0.002603,0.085606,0.240914,0.039542,0.124611,40.020649
bart,table,off,off,off,0.02248,0.142325,0.357224,0.107184,0.188851,50.809563
bert,table,off,off,off,0.041244,0.229584,0.425107,0.13,0.189729,18.222012
longformer_ext,table,off,off,off,0.029873,0.1599,0.371733,0.089234,0.143272,47.743913
t5,table,off,off,off,0.009953,0.096021,0.269939,0.081181,0.137423,64.888567
bart,plot+table,off,off,off,0.003809,0.095829,0.281418,0.068891,0.139635,29.505642
bert,plot+table,off,off,off,0.034433,0.222695,0.458544,0.080866,0.175919,30.565957
longformer_ext,plot+table,off,off,off,0.011879,0.133621,0.372694,0.075786,0.186347,13.555083
t5,plot+table,off,off,off,0.002884,0.089655,0.252119,0.050955,0.137712,37.182479
bart,plot+table,off,off,off,0.00901,0.088838,0.256858,0.0925,0.149626,46.139895
bert,plot+table,off,off,off,0.043982,0.253644,0.471495,0.128086,0.192604,33.649163
longformer_ext,plot+table,off,off,off,0.043443,0.17043,0.389925,0.074766,0.152985,42.556675
t5,plot+table,off,off,off,0.007081,0.092529,0.256219,0.062344,0.141791,56.181358
bart,plot,on,off,off,0.007746,0.119199,0.291262,0.095135,0.16397,30.448
bert,plot,on,off,off,0.067655,0.253932,0.519062,0.143906,0.21261,25.782885
longformer_ext,plot,on,off,off,0.016502,0.167844,0.4292,0.093392,0.202287,20.175102
t5,plot,on,off,off,0.000296,0.052927,0.185493,0.030989,0.107015,38.615652
bart,plot,on,off,off,0.007159,0.111697,0.323601,0.087805,0.184915,44.770552
bert,plot,on,off,off,0.040533,0.234928,0.493997,0.151203,0.212693,37.701009
longformer_ext,plot,on,off,off,0.046161,0.201629,0.458891,0.139847,0.18738,41.298049
t5,plot,on,off,off,0.002157,0.098257,0.263959,0.061069,0.134518,38.532143
bart,table,on,off,off,0.003715,0.118175,0.313725,0.051081,0.15098,29.05875
bert,table,on,off,off,0.026857,0.266511,0.432133,0.077648,0.170637,16.653333
longformer_ext,table,on,off,off,0.011084,0.167602,0.370253,0.052298,0.174051,38.472201
t5,table,on,off,off,0.002705,0.097516,0.266398,0.040445,0.125126,44.901403
bart,table,on,off,off,0.007752,0.110067,0.298021,0.088681,0.16298,30.689615
bert,table,on,off,off,0.017296,0.224936,0.403722,0.101792,0.171797,20.613938
longformer_ext,table,on,off,off,0.027621,0.161645,0.389585,0.085024,0.165863,38.859694
t5,table,on,off,off,0.002545,0.078485,0.238509,0.03736,0.11677,33.047308
bart,plot+table,on,off,off,0.005396,0.096406,0.256628,0.05526,0.137858,16.973267
bert,plot+table,on,off,off,0.047064,0.262133,0.447685,0.100317,0.181357,22.119945
longformer_ext,plot+table,on,off,off,0.015402,0.158675,0.357522,0.074468,0.161062,37.092452
t5,plot+table,on,off,off,0.005001,0.09673,0.27689,0.059765,0.140575,46.358471
bart,plot+table,on,off,off,0.003553,0.08324,0.26,0.067669,0.15,37.023125
bert,plot+table,on,off,off,0.021239,0.220423,0.435418,0.113914,0.18684,39.969723
longformer_ext,plot+table,on,off,off,0.028293,0.189961,0.419567,0.103676,0.190028,44.321812
t5,plot+table,on,off,off,0.005036,0.087721,0.258794,0.070529,0.148241,49.948189
bart,plot,off,on,off,0.001291,0.079381,0.231884,0.042458,0.122631,25.339375
