mean [value-env-deviation] of turtles,mean [value-env-deviation] of turtles.1,mean [value-env-deviation] of turtles.2,mean [value-env-deviation] of turtles.3,mean [value-env-deviation] of turtles.4,mean [value-env-deviation] of turtles.5,mean [value-env-deviation] of turtles.6,mean [value-env-deviation] of turtles.7,mean [value-env-deviation] of turtles.8,mean [value-env-deviation] of turtles.9,mean [value-env-deviation] of turtles.10,mean [value-env-deviation] of turtles.11,mean [value-env-deviation] of turtles.12,mean [value-env-deviation] of turtles.13,mean [value-env-deviation] of turtles.14,mean [value-env-deviation] of turtles.15,mean [value-env-deviation] of turtles.16,mean [value-env-deviation] of turtles.17,mean [value-env-deviation] of turtles.18,mean [value-env-deviation] of turtles.19,mean [value-env-deviation] of turtles.20,mean [value-env-deviation] of turtles.21,mean [value-env-deviation] of turtles.22,mean [value-env-deviation] of turtles.23,mean [value-env-deviation] of turtles.24,mean [value-env-deviation] of turtles.25,mean [value-env-deviation] of turtles.26,mean [value-env-deviation] of turtles.27,mean [value-env-deviation] of turtles.28,mean [value-env-deviation] of turtles.29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.570898230758536,6.452828266921328,6.162410258873992,6.490983313396461,6.409105185540781,6.358168318815714,6.679978616225524,6.505463107406558,6.985331393091996,6.5589329306836675,6.553524202270122,6.555517205467749,6.519495641847337,6.520035809060255,6.467385665560962,6.643067098496901,6.560249859789743,6.911026103594151,6.657871013671723,6.609214627484418,5.971737073238858,6.719747141409832,6.50981038990404,6.020114904737057,7.005207731219614,6.470683493781291,6.597993198705589,6.481455923220132,6.646675994225061,6.640366740256145
9.72984117101033,9.895131732439603,9.85887724572893,9.88078663327651,9.887528003557389,9.931536622016583,10.29770292212214,10.232669998782754,10.336858414219224,10.143702446491108,10.023994169951347,9.85738572897984,9.853014838038556,9.694298287020876,9.69618813229511,10.01619242079999,9.903572980701412,9.907664610189617,9.82596302477568,9.524261994299138,9.462566377080968,9.99031790046077,9.774825352492543,9.72981826639316,10.283463259015337,9.769546473462745,10.108927165303276,10.0027064388804,10.0512840973711,10.025959281047138
11.512108284079323,11.5843014811021,11.7582535805883,11.665040378125257,11.707257171588214,11.567830271084508,11.729518707216052,11.7445279870351,11.891959942777625,11.784556268907306,11.86209407168912,11.570189954882888,11.727075939127667,11.476263356228566,11.51786352053726,11.677286386282004,11.739849516865808,11.726181149292056,11.703094031332938,11.508686152115668,11.350499438499089,11.583602955516334,11.651447341444952,11.444414398480086,11.728043122310265,11.766620052175371,11.782068609596752,11.689703045567358,11.63226400048402,11.781090326003106
12.346484539903514,12.462270344408523,12.45759628964336,12.512563316200929,12.551846269900068,12.48228011809855,12.535048843489774,12.549440876722212,12.64984164214579,12.515139444707462,12.645163053371224,12.42234354194149,12.382778999928528,12.418015037038517,12.405470550712826,12.526150276466836,12.440305682962762,12.518262610003037,12.417680946116272,12.366300122474447,12.367885427307131,12.554575298078888,12.376390174164245,12.387297470809456,12.534509655654364,12.506652559689364,12.44079460973957,12.459644812784228,12.45314249418226,12.573764344320928
12.744740791605416,12.95091805061838,12.920028557676329,12.961520830659373,12.942103457618463,12.863272944342851,12.931615164069497,12.888978391654444,13.059017555725273,12.937984094864444,13.031816265701105,12.891897562457572,12.787998138980557,12.958495380634115,12.83281040956672,12.904423285781316,12.872870258074116,13.004342499953465,12.849996301128526,12.774190137479351,12.822872337515856,12.985518184478517,12.89367955421924,12.828247934578838,12.903844268149484,12.91754906376663,12.85618763959894,12.949251331016212,12.935548398076362,13.00085644851812
12.910348008938572,13.155928471421523,13.15166205648552,13.237829233858037,13.129036377815432,13.13060303113908,13.121877135192932,13.144277879261368,13.216878677613929,13.179495151287895,13.199737442864652,13.109864238711811,13.07967102173451,13.232743852764887,13.073640333408962,13.191420809372532,13.119555793056124,13.153107478136134,13.101105541830972,13.030688591062038,13.05498897362018,13.15568534681248,13.123527187412998,13.064597981421407,13.079128918231085,13.144243473442458,13.071124799105636,13.124682665470909,13.1807651426252,13.21449964237695
13.218937137179172,13.289825784199223,13.233821383948706,13.30618841711894,13.236361321992389,13.28702491756568,13.184511758806904,13.276580068603112,13.258218182091833,13.236385637751138,13.289815854529438,13.222397207507484,13.208973389660478,13.316017781405858,13.21453226965397,13.305326905027892,13.254987961682769,13.251830352008207,13.20920100830591,13.216297512351527,13.231012521693682,13.2869342280242,13.258679896791628,13.16679937502041,13.24046890139268,13.236734357944208,13.197132101661513,13.251805393770546,13.272245211328322,13.2838781119061
13.309130336300296,13.359517308215056,13.34485858510482,13.370105828111708,13.313829404817971,13.35320924579633,13.283704180868012,13.35490982794108,13.337280463224324,13.316162195404974,13.324258497677738,13.287636461200366,13.265534419990658,13.36575760517628,13.297569985414064,13.348931436147796,13.34208904813348,13.340224989587831,13.297194790676642,13.313877239392962,13.293895360455991,13.361659302964782,13.3225946303103,13.27157724107962,13.341178273051664,13.317012607932678,13.342400392615414,13.341061925445144,13.340315939061131,13.37139600855392
13.365512038322624,13.400911860519948,13.417079907877117,13.39913744394038,13.356362936988964,13.403461049759724,13.353351756297975,13.43007695684994,13.430679581131551,13.400602886305771,13.395582604628077,13.362304164924304,13.34649001333813,13.395482903335148,13.401653559714054,13.402188830942409,13.371878592484304,13.402175117895672,13.375890948968788,13.356864342810605,13.363375336046287,13.410243614363912,13.388363223339493,13.398110135515756,13.386039940124526,13.383596946064236,13.403229564920151,13.407889746782436,13.403093284665438,13.411269566490985
