mean-alt,mean-alt.1,mean-alt.2,mean-alt.3,mean-alt.4,mean-alt.5,mean-alt.6,mean-alt.7,mean-alt.8,mean-alt.9,mean-alt.10,mean-alt.11,mean-alt.12,mean-alt.13,mean-alt.14,mean-alt.15,mean-alt.16,mean-alt.17,mean-alt.18,mean-alt.19,mean-alt.20,mean-alt.21,mean-alt.22,mean-alt.23,mean-alt.24,mean-alt.25,mean-alt.26,mean-alt.27,mean-alt.28,mean-alt.29
5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29
5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29
130.7492426624876,153.94219640152883,146.27405782568172,135.67924058580385,134.7622352424784,142.27806291182304,145.63055298241486,154.4840588564327,182.491930630642,169.08796284924716,141.56174775467755,164.57272952807793,130.438457699737,144.1839282743146,160.4704714975912,171.22566270283795,137.641352794077,129.805261355131,142.93322987736673,148.2118800112303,130.8955479029739,168.76145458319314,134.6574887425592,141.0868716632488,130.33951198627668,157.81309068600302,146.90711116469666,135.95785798021484,107.00687176345323,145.07914772401068
270.35903979832125,313.98819013015884,269.52551153613257,277.6771166938758,248.0679366844726,306.346067171982,273.4175702539079,313.47758303604064,335.0948613345619,354.37794341662806,273.42872281250317,324.04274884124175,286.77495622367115,305.7292443704026,328.29730089871305,308.39290202942357,290.0011525231825,266.7923674707501,290.29460626935287,264.77291628994664,234.06830088615772,319.88907314234905,270.0172238958105,294.1137594445971,252.14323031022985,299.2177157763221,269.8657110614654,276.15341904892836,227.78475331766708,254.0874888993546
434.5203520652404,495.0494850701919,434.1533710943906,465.7250648085845,393.0615185306983,477.644196428104,421.7421826812774,455.19469924811847,494.37559654906704,499.23044771254536,473.5654618983081,514.0707058464586,421.4256210926559,468.2258268130056,486.8539217368823,475.252983845272,465.7266982833445,445.64716187696615,455.71211864425015,425.7115601447736,398.6587528766277,533.1695316574774,405.7941619018068,433.8837761220114,454.9680746129427,413.31051090912496,416.5667536346549,467.3977244234197,408.4649716647885,409.24241307601784
631.0629592423466,680.8943084121623,629.7828206421951,674.9213440180082,574.7344128810715,649.6979377458397,635.9945474648927,612.7342378747168,707.7651089871157,676.4978355636875,674.3671886385652,728.97547228601,587.3434557846487,663.1430973009058,686.936398892641,654.0906167724168,630.8411144924853,607.850200547502,601.9191592078699,622.580112113756,558.7755886397061,750.0087612505426,560.8396649995543,567.6456543585247,658.2142426120149,540.069349627349,600.0411490826273,657.5660942268348,591.935203107198,578.4100153022083
836.9736398134598,878.0289331403189,834.6048742577436,867.5775308782135,755.7635972155424,834.4254543175516,799.1663877744136,811.1664991611448,903.9727837659416,840.7114050283568,864.6163010565728,882.4027117594716,760.8919387984304,846.9087139177203,843.0613514320593,846.5735858478936,798.813674484466,776.1128955927672,764.1313142364768,818.4688327901985,707.9492984475406,929.9582784467268,760.4732285219195,733.0894419921649,811.6798765012702,715.0849548817484,783.0422881921021,821.3272689530196,793.6082604971003,752.7343796649503
1019.6670267638484,1037.237509041438,1012.8501223053436,1032.8749110345543,907.9020250288124,1037.5467497231532,933.9038998209692,1003.5528252783026,1057.7464710801348,982.8505164190752,1027.1751139353173,1000.9563611867292,915.5295914533798,1024.3049067485813,977.86580128928,1004.825890658914,959.4206510517954,936.2592913097806,925.709458513996,1002.7264021437786,879.0789214195382,1052.3533176641704,930.1795115058864,903.5351586407262,984.1297932514294,900.9644840069016,979.4750773332488,942.8169378834368,986.6635705585434,907.6468465336084
1091.0129748938737,1116.1285514165577,1123.1294360832012,1138.7737557291712,1008.407100340852,1134.5234546045017,1044.91354373978,1127.2275073246228,1139.4795164625525,1127.7796032442332,1131.7035056737425,1087.4288319873683,1024.660717414356,1125.872812243944,1061.701642858205,1108.1675427113316,1071.8377168951383,1053.04779048025,1064.1056029300596,1120.3559718544498,1044.3190446807052,1145.3023239683737,1064.3275718592122,1060.0178871778894,1098.560399704494,1064.3989840120364,1105.6830299458372,1068.7332188908415,1113.1997469467085,1068.7680972977555
1183.9133804653677,1210.9199693917085,1209.0392509036876,1222.8614005891525,1100.006177664455,1202.4251206510846,1154.210330943998,1225.7400789515843,1216.8766140074104,1208.2123651977174,1217.8343681284855,1185.9230853314882,1132.8284042731252,1212.6227589037132,1157.6681676424275,1212.270465269408,1174.120500249844,1151.026147411202,1188.6553278241383,1194.161549052391,1171.469925999296,1226.975815515921,1173.041169510368,1195.7929672025716,1179.043942840006,1201.386150021579,1193.2337991623756,1168.562429606364,1198.7879291424483,1169.1878000320569
1241.2717752473238,1234.6616803169447,1224.3389212881475,1257.5666389248402,1147.0123345617242,1240.028306711297,1203.78231664103,1237.073065893967,1241.2083414798813,1235.167491074929,1241.380455955486,1224.5581283331871,1183.934682146633,1238.9476099184042,1212.626165759686,1232.2728585473997,1212.9866821393755,1208.877167556797,1215.2685856297717,1204.3738403635343,1216.85276044058,1247.5573835526486,1206.9078760226048,1248.0063721713914,1218.053203626085,1229.4095421098546,1215.0658140137136,1202.2620049210486,1213.821881357043,1197.4859415854846
