Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Example,0.00597087,0.00000010,0.00087289,0.00700900,0.02687538,0.66851477
Evidence,0.21646753,0.06626732,1.95404739,1.75963442,1.64853177,1.04072969
Evidence_AND_Example,0.40916025,0.06635531,2.10531830,1.81214179,1.80926034,1.75131822
Evidence_AND_Insights,0.36822735,0.25142972,2.02150265,2.37933134,2.58876917,2.71154256
Evidence_AND_Role,0.31716794,0.09335114,3.04245747,6.33880723,4.34166225,1.66574902
Insights,0.07434591,0.17992727,0.02730218,0.54541076,0.86595555,0.89041308
Insights_AND_Example,0.12933839,0.18792713,0.08962387,0.58817395,0.92306543,1.73316065
Role,0.04460276,0.01763227,1.04325451,4.56304861,2.68104193,0.08934777
Role_AND_Example,0.05073312,0.01801167,1.06428349,4.57005766,2.72493433,0.76192519
Role_AND_Insights,0.17946431,0.19872741,1.07206102,5.11930343,3.55589597,1.05253646
Summarizer,17.06228855,19.65065767,15.64297127,12.74969600,14.41042444,16.19149322
Summarizer_AND_Example,17.15896414,19.66906092,15.77091275,12.89300284,14.48715967,19.34935091
Summarizer_AND_Evidence,18.44245798,19.84597411,19.21655294,15.11341062,16.54187315,17.79266320
Summarizer_AND_Insights,19.58490982,20.00191382,19.40717782,13.70465753,15.88026666,17.18485664
Summarizer_AND_Role,25.95590108,19.75276415,17.54166145,17.85631482,17.51428395,17.11639863
