Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
longformer_ext,table,on,off,off,0.000824,0.068238,0.197917,0.043532,0.091912,38.472201
none,plot+table,on,off,off,0.008315,0.212212,0.168675,0.048221,0.076991,42.232965
none,plot+table,on,off,off,0.01468,0.238571,0.22543,0.062222,0.097723,42.232965
none,plot+table,on,off,off,0.038291,0.258005,0.53635,0.15754,0.241754,42.232965
bart,plot+table,on,off,off,0.022096,0.168797,0.396396,0.083183,0.169369,16.973267
bart,plot+table,on,off,off,0.017431,0.147022,0.381963,0.090426,0.159151,16.973267
bart,plot+table,on,off,off,2e-06,0.039538,0.115528,0.040802,0.067958,16.973267
bert,plot+table,on,off,off,0.01668,0.27036,0.321278,0.072452,0.144659,22.119945
bert,plot+table,on,off,off,0.021748,0.257436,0.400576,0.082251,0.158501,22.119945
bert,plot+table,on,off,off,0.008207,0.126894,0.332122,0.091748,0.135868,22.119945
t5,plot+table,on,off,off,0.011416,0.150155,0.352087,0.043716,0.137931,46.358471
t5,plot+table,on,off,off,0.00337,0.116895,0.328,0.034759,0.125333,46.358471
t5,plot+table,on,off,off,0.0,0.032108,0.112283,0.028601,0.064648,46.358471
longformer_ext,plot+table,on,off,off,0.020179,0.209557,0.371968,0.056757,0.142857,37.092452
longformer_ext,plot+table,on,off,off,0.013892,0.170864,0.395324,0.061768,0.142402,37.092452
longformer_ext,plot+table,on,off,off,0.000288,0.059384,0.182109,0.044118,0.086262,37.092452
none,plot,off,on,off,0.006787,0.250378,0.211148,0.059106,0.099668,31.224839
none,plot,off,on,off,0.016636,0.282585,0.281293,0.078458,0.129986,31.224839
none,plot,off,on,off,0.059969,0.250411,0.581126,0.21472,0.275849,31.224839
bart,plot,off,on,off,0.00719,0.168752,0.365422,0.071006,0.165029,25.339375
bart,plot,off,on,off,0.008624,0.115539,0.322034,0.05949,0.146893,25.339375
bart,plot,off,on,off,0.0,0.030995,0.099413,0.037997,0.064204,25.339375
bert,plot,off,on,off,0.00981,0.260247,0.386572,0.087666,0.162767,22.549474
bert,plot,off,on,off,0.024489,0.246474,0.465313,0.101695,0.186125,22.549474
bert,plot,off,on,off,0.00786,0.102171,0.298428,0.124072,0.161376,22.549474
t5,plot,off,on,off,0.006849,0.173407,0.345098,0.066929,0.160784,21.361627
t5,plot,off,on,off,0.01047,0.115387,0.310296,0.059406,0.157969,21.361627
t5,plot,off,on,off,0.0,0.02873,0.092478,0.03384,0.060041,21.361627
longformer_ext,plot,off,on,off,0.013165,0.218139,0.360053,0.065876,0.165572,20.649877
longformer_ext,plot,off,on,off,0.027579,0.18709,0.39375,0.075157,0.158333,20.649877
longformer_ext,plot,off,on,off,0.000336,0.068976,0.204509,0.055926,0.102255,20.649877
none,table,off,on,off,0.004375,0.205626,0.145689,0.046871,0.071557,31.732938
none,table,off,on,off,0.013562,0.22683,0.201273,0.066144,0.092556,31.732938
