generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1773408160-txRfVVEQthjYwX94zBIK,2026-03-13 13:22:40.570,0.015821,,,0,0,2187,5317,3127,1280,moonshotai/kimi-k2.5-0127,Together,standard,false,true,,stop,stop,101602,1145,,kimi
gen-1773408151-RLQ8HQiEsc8sLC1DvUPC,2026-03-13 13:22:31.360,0.013929,,-0.00064,0,0,3361,4478,4268,1280,moonshotai/kimi-k2.5-0127,Novita,standard,false,true,,stop,stop,121449,2420,,kimi
gen-1773408151-c68ZF9t9ZOSVkFbLIbfZ,2026-03-13 13:22:31.343,0.008541,,-0.00064,0,0,3488,2543,2095,1280,moonshotai/kimi-k2.5-0127,Novita,standard,false,true,,stop,stop,69131,3627,,kimi
gen-1773408150-rQ98wmkKHPhCYlU1e8pX,2026-03-13 13:22:30.210,0.016371,,-0.001639,0,0,3279,5693,6112,3279,moonshotai/kimi-k2.5-0127,Novita,standard,false,true,,stop,stop,153228,2623,,kimi
gen-1773408099-r4DwRW0XEhwnd8FmagKE,2026-03-13 13:21:39.416,0.006761,,,0,0,1669,2306,1833,0,moonshotai/kimi-k2.5-0127,AtlasCloud,standard,false,true,,stop,stop,60741,2866,,kimi
gen-1773408065-1Jn5qbsUmlm88azJy8vT,2026-03-13 13:21:05.658,0.005681,,,0,0,2809,1667,1306,0,moonshotai/kimi-k2.5-0127,AtlasCloud,standard,false,true,,stop,stop,147895,2722,,kimi
gen-1773408065-oVlbBOMhrJZ5V2Z6rySs,2026-03-13 13:21:05.631,0.010468,,,0,0,2823,3524,3515,0,moonshotai/kimi-k2.5-0127,AtlasCloud,standard,false,true,,stop,stop,84702,3872,,kimi
gen-1773408065-7sJCwWk1L6rpcASoOfMR,2026-03-13 13:21:05.427,0.008154,,-0.001368,0,0,2737,2799,2404,2737,moonshotai/kimi-k2.5-0127,Novita,standard,false,true,,stop,stop,70454,2065,,kimi
gen-1773408026-QTpwupuRx3867jjkQZ23,2026-03-13 13:20:26.046,0.009158,,,0,0,2724,2539,2135,0,moonshotai/kimi-k2.5-0127,Phala,standard,false,true,,stop,stop,72649,3926,,kimi
gen-1773407988-iNYRfVAnW8rk8H9i1W95,2026-03-13 13:19:48.624,0.009221,,,0,0,2446,3112,2784,0,moonshotai/kimi-k2.5-0127,AtlasCloud,standard,false,true,,stop,stop,76418,4475,,kimi
gen-1773407962-PTT0YNPoz3SXNNaMCeQh,2026-03-13 13:19:22.441,0.008363,,,0,0,2460,2776,2266,0,moonshotai/kimi-k2.5-0127,AtlasCloud,standard,false,true,,stop,stop,62766,3524,,kimi
gen-1773407962-D3BDZYFBY9gWqEKK8mP8,2026-03-13 13:19:22.337,0.007582,,,0,0,1856,2589,2059,0,moonshotai/kimi-k2.5-0127,AtlasCloud,standard,false,true,,stop,stop,186956,768,,kimi
gen-1773407962-IYraFnjmBx19Ml6uRtVF,2026-03-13 13:19:22.220,0.006904,,,0,0,1598,2005,2091,0,moonshotai/kimi-k2.5-0127,BaseTen,standard,false,true,,stop,stop,25276,494,,kimi
gen-1773407794-U3oCtGviuTiinBTRgn8D,2026-03-13 13:16:34.133,0.017105,,,0,0,1588,4290,4668,0,moonshotai/kimi-k2.5-0127,Venice,standard,false,true,,stop,stop,60538,890,,kimi
gen-1773407785-9UXaHypqVgJJ3oeeLws8,2026-03-13 13:16:25.585,0.011085,,-0.00064,0,0,3602,3422,2844,1280,moonshotai/kimi-k2.5-0127,Novita,standard,false,true,,stop,stop,84631,2739,,kimi
gen-1773407755-0wpm3Jaa7VNnkFogdFyh,2026-03-13 13:15:55.603,0.010554,,-0.00064,0,0,3365,3281,3087,1280,moonshotai/kimi-k2.5-0127,Novita,standard,false,true,,stop,stop,78738,2545,,kimi
gen-1773407755-8vIkMXjgioW7xFl1B1ye,2026-03-13 13:15:55.597,0.008433,,-0.00064,0,0,3361,2530,2573,1280,moonshotai/kimi-k2.5-0127,Novita,standard,false,true,,stop,stop,61033,2236,,kimi
gen-1773407745-ZFzpBu3Fo6ccayZoHnK3,2026-03-13 13:15:45.701,0.010668,,-0.00064,0,0,3347,3325,2654,1280,moonshotai/kimi-k2.5-0127,Novita,standard,false,true,,stop,stop,76730,2664,,kimi
gen-1773407741-ePkPrvE2Nwo7SdstXVMP,2026-03-13 13:15:41.412,0.008859,,,0,0,3373,3026,3115,0,moonshotai/kimi-k2.5-0127,Inceptron,standard,false,true,,stop,stop,53663,1886,,kimi
gen-1773407726-z8OnrHVdOyWainIqt3it,2026-03-13 13:15:26.288,0.012076,,,0,0,3590,3348,3069,0,moonshotai/kimi-k2.5-0127,BaseTen,standard,false,true,,stop,stop,58827,1670,,kimi
gen-1773407694-iVvTzQZs53lIfTY383Xf,2026-03-13 13:14:54.444,0.016457,,,0,0,3490,3735,3281,0,moonshotai/kimi-k2.5-0127,Venice,standard,false,true,,stop,stop,31347,2604,,kimi
gen-1773407694-DX31zn8EtxZKrovjhV4P,2026-03-13 13:14:54.432,0.009964,,,0,0,3278,3511,3515,0,moonshotai/kimi-k2.5-0127,Inceptron,standard,false,true,,stop,stop,59610,1072,,kimi
gen-1773407694-qL5FXkTbLFnb4kvxzI4M,2026-03-13 13:14:54.407,0.008184,,,0,0,3264,2103,2324,0,moonshotai/kimi-k2.5-0127,Phala,standard,false,true,,stop,stop,58181,4126,,kimi
gen-1773407694-V7rDSLd1SPBh1PXehXXE,2026-03-13 13:14:54.291,0.006172,,,0,0,3577,1710,918,0,moonshotai/kimi-k2.5-0127,AtlasCloud,standard,false,true,,stop,stop,46635,4480,,kimi
gen-1773407694-EJ3i9CxNbZKWIxML20B1,2026-03-13 13:14:54.271,0.006938,,-0.00064,0,0,3582,1956,720,1280,moonshotai/kimi-k2.5-0127,Novita,standard,false,true,,stop,stop,51102,2636,,kimi
gen-1773407694-JCs9xOScrwKt6oaiC7F6,2026-03-13 13:14:54.269,0.011708,,,0,0,1999,3750,3661,0,moonshotai/kimi-k2.5-0127,Novita,standard,false,true,,stop,stop,94316,2910,,kimi
gen-1773407646-mOFOJiKRjosDxdIYWRoB,2026-03-13 13:14:06.898,0.012178,,,0,0,2214,3919,4440,1280,moonshotai/kimi-k2.5-0127,Parasail,standard,false,true,,stop,stop,56009,507,,kimi
gen-1773407628-GA4yaw4fNwsxse7E74O6,2026-03-13 13:13:47.751,0.010141,,,0,0,1946,3863,3550,0,moonshotai/kimi-k2.5-0127,Inceptron,standard,false,true,,stop,stop,57595,469,,kimi
gen-1773407625-fJOSiEmzPI20Vzr5yL2G,2026-03-13 13:13:45.382,0.014113,,-0.000512,0,0,1960,3202,3340,1280,moonshotai/kimi-k2.5-0127,NextBit,standard,false,true,,stop,stop,43450,712,,kimi
gen-1773407617-05pmYaISGyTclWKtIKKs,2026-03-13 13:13:36.980,0.009202,,-0.00064,0,0,2709,2933,2745,1280,moonshotai/kimi-k2.5-0127,Novita,standard,false,true,,stop,stop,74505,2203,,kimi
gen-1773407611-zy3XZ7EEPYV3cqVKIKNv,2026-03-13 13:13:30.769,0.005885,,,0,0,2015,1899,1505,0,moonshotai/kimi-k2.5-0127,AtlasCloud,standard,false,true,,stop,stop,209666,834,,kimi
gen-1773407609-u34C7VEfxxYADrUFsfRV,2026-03-13 13:13:29.785,0.011682,,,0,0,1946,3867,3513,1280,moonshotai/kimi-k2.5-0127,Together,standard,false,true,,stop,stop,82976,992,,kimi
gen-1773407607-8fOzOu7r9XY9nt5WUuLn,2026-03-13 13:13:27.116,0.013365,,-0.0017,0,0,2742,3505,3703,2720,moonshotai/kimi-k2.5-0127,Venice,standard,false,true,,stop,stop,34874,2344,,kimi
gen-1773407606-rRA6WGwvgwZ5NGswTu3Q,2026-03-13 13:13:26.130,0.008488,,,0,0,1592,2721,2672,960,moonshotai/kimi-k2.5-0127,Parasail,standard,false,true,,stop,stop,38088,644,,kimi
gen-1773407605-hNX5splaIH0mJvYLykF3,2026-03-13 13:13:25.781,0.122236,,-0.0006,0,0,1588,32768,8193,960,moonshotai/kimi-k2.5-0127,Venice,standard,false,true,,length,length,186231,1118,,kimi
gen-1773407601-nOSOk26CMZ4X9Y0sY5BP,2026-03-13 13:13:21.745,0.010286,,-0.000512,0,0,1970,2233,2200,1280,moonshotai/kimi-k2.5-0127,NextBit,standard,false,true,,stop,stop,23069,1013,,kimi
gen-1773407600-gY3JCARHIhA2dmdgDn0J,2026-03-13 13:13:20.863,0.008865,,,0,0,1574,2861,2923,960,moonshotai/kimi-k2.5-0127,Parasail,standard,false,true,,stop,stop,40692,531,,kimi
gen-1773407599-rN7gsGGtZ1QWJvbixM7I,2026-03-13 13:13:19.944,0.008743,,-0.00064,0,0,2736,2765,2599,1280,moonshotai/kimi-k2.5-0127,Novita,standard,false,true,,stop,stop,60841,2386,,kimi
gen-1773407593-GGqzcr0pFbnVebZgCjPe,2026-03-13 13:13:13.638,0.015042,,,0,0,2169,3618,3417,0,moonshotai/kimi-k2.5-0127,Venice,standard,false,true,,stop,stop,34036,904,,kimi
gen-1773407587-WtEL9pNTSJnJy5WbmxHk,2026-03-13 13:13:07.793,0.009265,,,0,0,2743,2571,2374,0,moonshotai/kimi-k2.5-0127,BaseTen,standard,false,true,,stop,stop,42096,2001,,kimi
gen-1773407580-SJMOHbW6OsK75Aj8SwUO,2026-03-13 13:13:00.841,0.006878,,-0.00082,0,0,2737,1524,1234,1312,moonshotai/kimi-k2.5-0127,Venice,standard,false,true,,stop,stop,26165,3810,,kimi
