Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Example,0.02393565,0.22851939,0.45785628,0.13518056,0.13442031,1.98791954
Evidence,0.63487612,0.20629965,0.09101329,0.26345850,0.12798918,0.89824837
Evidence_AND_Example,0.82958877,0.43925645,0.55329522,0.42736703,0.28678674,2.91170437
Evidence_AND_Insights,0.68978941,0.30940270,0.16498452,0.34970538,0.69780680,5.58251152
Evidence_AND_Role,0.82909997,0.34337441,0.36795131,0.42088367,0.21326052,2.18074347
Insights,0.00038263,0.04493717,0.00001979,0.03979574,0.34546780,4.66115808
Insights_AND_Example,0.02446081,0.27427715,0.47117480,0.18146514,0.49821682,6.74779229
Role,0.14599622,0.13615571,0.25728915,0.13382833,0.02424668,0.89144364
Role_AND_Example,0.17408028,0.38679604,0.74534959,0.28618712,0.30461854,2.96960220
Role_AND_Insights,0.16419760,0.18320763,0.27309083,0.23362954,0.52861123,5.57066059
Summarizer,17.90517602,19.12372145,18.58450639,18.47535975,17.93780284,10.15078491
Summarizer_AND_Example,18.16319173,19.38400083,19.17693806,18.65037894,18.15915337,13.18244228
Summarizer_AND_Evidence,18.76531519,19.46728861,19.41360946,19.28172558,18.76371057,11.45182309
Summarizer_AND_Insights,18.72615702,19.57501380,19.21227553,19.50529193,19.19678511,15.23802272
Summarizer_AND_Role,22.92375258,19.89774903,20.23064578,21.61574280,22.78112349,15.57514292
