Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Example,0.22406184,6.83184314,0.02223455,0.13041585,0.00335653,8.19621284
Evidence,10.06698140,9.44080455,19.68753903,22.01164249,18.07707512,2.05778379
Evidence_AND_Example,11.02273010,17.59815744,20.51981663,24.09416064,20.66311473,10.39249539
Evidence_AND_Insights,14.80247438,13.66744893,23.01470441,23.44961449,23.37439080,15.84884860
Evidence_AND_Role,20.68886109,13.01872015,21.76331655,23.36344252,19.56319325,3.36454622
Insights,3.43203651,4.12667588,2.79483668,0.79509073,4.68491610,13.52138965
Insights_AND_Example,4.24036802,12.62213122,3.18930197,1.12672222,4.69651071,22.00639236
Role,10.59193722,3.46831426,1.99912359,1.34682191,1.41150250,0.93237000
Role_AND_Example,10.81655922,10.65634682,2.08298981,1.47836873,1.41488248,9.15919417
Role_AND_Insights,14.11399023,8.56955760,4.92613677,2.20372043,6.11105778,14.52076697
Summarizer,,,,,,
Summarizer_AND_Example,,,,,,
Summarizer_AND_Evidence,,,,,,
Summarizer_AND_Insights,,,,,,
Summarizer_AND_Role,,,,,,
