Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
plot+table,off,off,off,0.062692,0.255569,0.545966,0.177177,0.23227,46.777207
plot,on,off,off,0.0413,0.26402,0.548673,0.185223,0.255956,39.241956
plot,on,off,off,0.058426,0.269507,0.560272,0.196314,0.257909,40.790451
plot,on,off,off,0.072528,0.278121,0.585067,0.206986,0.248514,48.141727
table,on,off,off,0.036702,0.259036,0.463582,0.138847,0.218507,39.609272
table,on,off,off,0.046452,0.237087,0.486196,0.153817,0.236963,40.474412
table,on,off,off,0.050501,0.264707,0.489542,0.159491,0.207639,41.988186
plot+table,on,off,off,0.036347,0.267976,0.486936,0.156519,0.228364,39.21602
plot+table,on,off,off,0.053924,0.247508,0.514949,0.17867,0.244689,41.834329
plot+table,on,off,off,0.048853,0.275744,0.528598,0.170387,0.214959,43.263969
plot,off,on,off,0.041412,0.265274,0.518383,0.181395,0.247879,38.122433
plot,off,on,off,0.045448,0.27942,0.552415,0.192066,0.241461,33.924253
plot,off,on,off,0.075603,0.26835,0.576022,0.207712,0.246368,44.488719
table,off,on,off,0.031306,0.255223,0.454865,0.141894,0.207503,35.537682
table,off,on,off,0.05539,0.25934,0.51834,0.180068,0.232111,34.755233
table,off,on,off,0.063859,0.258565,0.511247,0.163963,0.215867,38.153312
plot+table,off,on,off,0.035583,0.262719,0.476478,0.149925,0.220145,34.980084
plot+table,off,on,off,0.051445,0.265925,0.510886,0.177619,0.228979,36.106404
plot+table,off,on,off,0.064273,0.263034,0.53617,0.185527,0.218794,42.709857
plot,off,off,on,0.055201,0.259947,0.556898,0.185459,0.261497,40.600978
plot,off,off,on,0.058953,0.281546,0.576414,0.208202,0.259407,36.306846
plot,off,off,on,0.065068,0.260343,0.569678,0.193,0.239178,38.56207
table,off,off,on,0.034861,0.272569,0.481129,0.147146,0.218722,36.20738
table,off,off,on,0.056203,0.262246,0.53163,0.17852,0.244797,37.702741
table,off,off,on,0.059266,0.26041,0.51554,0.167926,0.21036,39.515902
plot+table,off,off,on,0.043787,0.275623,0.520123,0.167825,0.241474,37.442169
plot+table,off,off,on,0.059229,0.267677,0.540072,0.189363,0.244462,36.552853
plot+table,off,off,on,0.058281,0.269122,0.55181,0.186723,0.227821,43.476755
plot,on,off,on,0.046716,0.275062,0.554043,0.185304,0.247773,37.246074
plot,on,off,on,0.049433,0.261315,0.55877,0.191054,0.258143,38.7848
