Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Example,0.00361379,0.02389232,0.03653508,0.04826751,0.00418323,2.07216857
Evidence,1.68964630,0.00968198,0.20883338,4.64395110,0.81567719,1.36742265
Evidence_AND_Example,1.73467367,0.03365997,0.24591154,4.72080029,0.84928926,3.50007428
Evidence_AND_Insights,1.80243968,0.04068213,0.43006721,5.67612123,1.40086125,5.75576763
Evidence_AND_Role,1.77638398,0.02927060,0.23902444,5.17508726,1.20862841,2.25292864
Insights,0.06785173,0.00908872,0.15612954,1.02648961,0.56731641,4.34724661
Insights_AND_Example,0.14362838,0.03391676,0.19877396,1.07919547,0.58114204,6.51640861
Role,0.04729461,0.01385825,0.00517758,0.46708509,0.32233133,0.56984643
Role_AND_Example,0.08863596,0.04592965,0.08717263,0.55985460,0.38539625,2.74118328
Role_AND_Insights,0.14620479,0.02294963,0.17392299,1.60052541,0.96687781,4.96520435
Summarizer,17.21390380,19.67719254,18.75237205,12.70164230,17.28642252,10.52728208
Summarizer_AND_Example,17.54845660,19.76910821,19.03355832,13.13343111,17.54406104,14.18945982
Summarizer_AND_Evidence,20.61827255,20.06472941,20.03127541,19.58621413,19.60515034,12.10722969
Summarizer_AND_Insights,17.88622049,19.84681635,19.33767922,14.12361382,18.25625576,15.35390818
Summarizer_AND_Role,19.23277367,20.37922347,21.06356665,15.45772107,20.20640717,13.73386918
