Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
t5,plot+table,on,off,on,0.013328,0.12088,0.334012,0.079592,0.14664,24.977085
longformer_ext,plot+table,on,off,on,0.025122,0.138343,0.338926,0.07395,0.159396,29.363982
none,plot,on,on,off,0.029202,0.293229,0.291686,0.112643,0.133017,34.822692
bart,plot,on,on,off,0.019206,0.149195,0.375852,0.109268,0.175268,28.542145
bert,plot,on,on,off,0.024266,0.169278,0.404135,0.105461,0.18797,31.2466
t5,plot,on,on,off,0.008992,0.100891,0.283898,0.070064,0.139831,19.950989
longformer_ext,plot,on,on,off,0.023626,0.148225,0.359751,0.085638,0.16919,34.789229
none,table,on,on,off,0.011374,0.257406,0.243541,0.080946,0.110555,33.496253
bart,table,on,on,off,0.016266,0.150078,0.370776,0.087832,0.180822,18.318197
bert,table,on,on,off,0.020598,0.164542,0.394391,0.080773,0.171779,25.174335
t5,table,on,on,off,0.008679,0.118391,0.317269,0.070423,0.15261,23.212556
longformer_ext,table,on,on,off,0.009001,0.142937,0.357401,0.072333,0.15704,42.334065
none,plot+table,on,on,off,0.027129,0.268872,0.253936,0.103089,0.118994,34.743309
bart,plot+table,on,on,off,0.006477,0.133438,0.325494,0.05655,0.15428,10.13132
bert,plot+table,on,on,off,0.045213,0.192668,0.46456,0.126604,0.201537,35.973005
t5,plot+table,on,on,off,0.017345,0.120001,0.332657,0.093496,0.1643,31.182267
longformer_ext,plot+table,on,on,off,0.013418,0.091282,0.248303,0.048591,0.128031,40.584398
none,plot,off,on,on,0.026583,0.284092,0.284651,0.103769,0.128372,35.063318
bart,plot,off,on,on,0.01279,0.122769,0.331337,0.088,0.155689,21.951011
bert,plot,off,on,on,0.024892,0.163937,0.412297,0.099638,0.180832,37.496316
t5,plot,off,on,on,0.005574,0.111928,0.30303,0.071204,0.15256,28.252328
longformer_ext,plot,off,on,on,0.05264,0.212942,0.458394,0.105263,0.192701,28.388766
none,table,off,on,on,0.016484,0.264757,0.245434,0.07596,0.111225,30.611239
bart,table,off,on,on,0.026466,0.180151,0.427083,0.107826,0.192708,35.889532
bert,table,off,on,on,0.019196,0.166285,0.403897,0.086957,0.175376,33.863731
t5,table,off,on,on,0.005852,0.113447,0.295858,0.047431,0.134122,22.745721
longformer_ext,table,off,on,on,0.030306,0.211951,0.446602,0.062827,0.182226,22.558015
none,plot+table,off,on,on,0.026759,0.277572,0.261552,0.097964,0.12039,31.838647
bart,plot+table,off,on,on,0.012106,0.117435,0.305389,0.078,0.143713,26.072314
bert,plot+table,off,on,on,0.034678,0.185664,0.416968,0.104882,0.189531,29.021249
t5,plot+table,off,on,on,0.009559,0.119928,0.321862,0.085193,0.165992,30.677274
longformer_ext,plot+table,off,on,on,0.044124,0.228717,0.446389,0.093499,0.195478,20.473221
none,plot,on,on,on,0.025398,0.287864,0.286959,0.101353,0.128352,32.302922
bart,plot,on,on,on,0.019743,0.144881,0.360078,0.1,0.174168,21.56225
bert,plot,on,on,on,0.02034,0.155997,0.401887,0.088847,0.186792,25.815767
t5,plot,on,on,on,0.004295,0.106307,0.294243,0.070513,0.138593,26.136333
longformer_ext,plot,on,on,on,0.005374,0.095043,0.255276,0.040282,0.124623,23.723051
none,table,on,on,on,0.015118,0.263831,0.243655,0.077595,0.112893,31.489478
bart,table,on,on,on,0.013184,0.150465,0.354147,0.074697,0.169618,24.448313
bert,table,on,on,on,0.028417,0.170558,0.407018,0.077329,0.164912,29.292746
t5,table,on,on,on,0.02162,0.146283,0.373008,0.069484,0.166823,23.180956
longformer_ext,table,on,on,on,0.014065,0.146488,0.343224,0.035341,0.14595,31.427547
none,plot+table,on,on,on,0.023445,0.265346,0.239379,0.091985,0.111736,28.267082
bart,plot+table,on,on,on,0.020851,0.165879,0.386809,0.089286,0.183601,21.428888
bert,plot+table,on,on,on,0.033255,0.170195,0.406389,0.096,0.182786,21.839867
t5,plot+table,on,on,on,0.022089,0.143671,0.375746,0.087649,0.16501,26.998656
longformer_ext,plot+table,on,on,on,0.017343,0.11504,0.306499,0.068027,0.157129,25.964301
none,plot,off,off,off,0.037096,0.303998,0.348878,0.124631,0.154664,44.596579
bart,plot,off,off,off,0.01584,0.135864,0.356779,0.104188,0.169215,36.206614
bert,plot,off,off,off,0.02436,0.148064,0.38607,0.117647,0.193035,34.097619
t5,plot,off,off,off,0.002607,0.082412,0.248889,0.066815,0.131111,27.554907
longformer_ext,plot,off,off,off,0.037446,0.181591,0.431958,0.116095,0.205443,35.53774
none,table,off,off,off,0.015629,0.268613,0.25322,0.082114,0.116132,39.012924
bart,table,off,off,off,0.014693,0.125629,0.34127,0.091451,0.164683,30.253
bert,table,off,off,off,0.018088,0.168989,0.392459,0.092704,0.188518,39.445442
t5,table,off,off,off,0.00516,0.111114,0.282766,0.059979,0.148607,27.676759
longformer_ext,table,off,off,off,0.03771,0.226125,0.470939,0.11194,0.210134,30.561706
none,plot+table,off,off,off,0.029904,0.279483,0.274348,0.101098,0.127115,41.239106
bart,plot+table,off,off,off,0.011125,0.119114,0.328298,0.090817,0.165156,46.041432
bert,plot+table,off,off,off,0.027488,0.154408,0.405109,0.104205,0.178832,33.856885
t5,plot+table,off,off,off,0.011078,0.118445,0.320812,0.071211,0.156345,24.410396
longformer_ext,plot+table,off,off,off,0.058434,0.241604,0.491876,0.127219,0.20384,28.169062
none,plot,on,off,off,0.032097,0.301009,0.313209,0.120289,0.144995,39.241956
bart,plot,on,off,off,0.011731,0.117392,0.316103,0.075697,0.161034,13.038264
bert,plot,on,off,off,0.03183,0.163659,0.411483,0.11697,0.189474,34.920368
t5,plot,on,off,off,0.020323,0.124583,0.341811,0.099898,0.170905,33.336769
longformer_ext,plot,on,off,off,0.001157,0.03663,0.139935,0.006472,0.086114,32.48355
none,table,on,off,off,0.011557,0.263069,0.245957,0.078331,0.117021,39.609272
bart,table,on,off,off,0.009455,0.156046,0.380165,0.068077,0.170799,29.238208
bert,table,on,off,off,0.014478,0.173168,0.39688,0.067708,0.175043,39.433963
t5,table,on,off,off,0.005616,0.120088,0.319345,0.06359,0.149437,41.814451
longformer_ext,table,on,off,off,0.019601,0.202562,0.446526,0.096951,0.177986,41.317625
none,plot+table,on,off,off,0.027879,0.281126,0.266176,0.101754,0.125514,39.21602
bart,plot+table,on,off,off,0.016636,0.135246,0.357213,0.090462,0.170756,27.989849
bert,plot+table,on,off,off,0.036244,0.196626,0.460192,0.103418,0.188976,34.74378
t5,plot+table,on,off,off,0.018244,0.132442,0.364356,0.105159,0.166337,30.061236
longformer_ext,plot+table,on,off,off,0.014348,0.120161,0.303571,0.057245,0.1625,43.159952
none,plot,off,on,off,0.033034,0.288182,0.30915,0.113744,0.136126,38.122433
bart,plot,off,on,off,0.019624,0.127779,0.346798,0.090819,0.169458,31.837811
bert,plot,off,on,off,0.02709,0.174822,0.420263,0.12218,0.180113,32.547738
t5,plot,off,on,off,0.011093,0.118,0.311526,0.081165,0.149533,33.97151
longformer_ext,plot,off,on,off,0.058169,0.217067,0.484211,0.137875,0.20081,31.617235
none,table,off,on,off,0.014622,0.26659,0.24461,0.078805,0.112769,35.537682
bart,table,off,on,off,0.020207,0.152892,0.3701,0.082192,0.158614,24.413009
bert,table,off,on,off,0.019116,0.177491,0.405316,0.094842,0.177741,37.33512
t5,table,off,on,off,0.00723,0.119042,0.319598,0.066465,0.148744,31.291596
longformer_ext,table,off,on,off,0.029223,0.194034,0.435754,0.07514,0.178771,27.108869
none,plot+table,off,on,off,0.029737,0.276331,0.26468,0.101512,0.12133,34.980084
bart,plot+table,off,on,off,0.017867,0.135922,0.341847,0.096457,0.159136,25.584005
bert,plot+table,off,on,off,0.043169,0.187487,0.433008,0.138667,0.207631,34.409478
t5,plot+table,off,on,off,0.010058,0.111553,0.29478,0.067692,0.143296,30.0004
longformer_ext,plot+table,off,on,off,0.062232,0.220878,0.476753,0.125647,0.209594,27.060646
none,plot,off,off,on,0.0369,0.300924,0.344711,0.131527,0.150071,40.600978
bart,plot,off,off,on,0.020731,0.131226,0.362173,0.104839,0.16499,38.579236
bert,plot,off,off,on,0.03343,0.175871,0.429241,0.133333,0.196813,41.092303
t5,plot,off,off,on,0.005498,0.083885,0.256354,0.066445,0.137017,21.701409
longformer_ext,plot,off,off,on,0.029715,0.167171,0.396522,0.102787,0.177391,30.192868
none,table,off,off,on,0.016795,0.266806,0.251586,0.083333,0.114165,36.20738
bart,table,off,off,on,0.01753,0.152448,0.384543,0.100094,0.180961,28.607096
bert,table,off,off,on,0.016082,0.186217,0.434708,0.086059,0.182131,37.808471
t5,table,off,off,on,0.006261,0.11605,0.308617,0.054217,0.146293,30.788301
longformer_ext,table,off,off,on,0.032626,0.238687,0.481536,0.10503,0.199409,28.453769
none,plot+table,off,off,on,0.032807,0.288834,0.289945,0.106093,0.129926,37.442169
bart,plot+table,off,off,on,0.024118,0.153738,0.376471,0.117878,0.192157,34.906501
bert,plot+table,off,off,on,0.026582,0.170647,0.411929,0.117647,0.195713,30.258257
t5,plot+table,off,off,on,0.011226,0.107633,0.295597,0.096639,0.157233,31.83753
longformer_ext,plot+table,off,off,on,0.061841,0.221148,0.493446,0.131274,0.198921,30.532778
none,plot,on,off,on,0.03073,0.296097,0.312484,0.115531,0.136743,37.246074
bart,plot,on,off,on,0.01602,0.14959,0.392417,0.108262,0.181991,29.135285
bert,plot,on,off,on,0.021881,0.161028,0.40566,0.098299,0.192453,26.232393
t5,plot,on,off,on,0.009559,0.11076,0.31068,0.08,0.142395,42.022455
longformer_ext,plot,on,off,on,0.012429,0.107095,0.279399,0.053144,0.146773,25.667506
none,table,on,off,on,0.0132,0.272203,0.261512,0.082138,0.119027,35.239586
bart,table,on,off,on,0.013285,0.146812,0.359121,0.086124,0.166189,23.467608
bert,table,on,off,on,0.017027,0.174226,0.411871,0.099099,0.188849,28.127365
t5,table,on,off,on,0.008263,0.140659,0.353406,0.075173,0.159921,27.262353
longformer_ext,table,on,off,on,0.021109,0.192338,0.394837,0.085171,0.179195,29.181299
none,plot+table,on,off,on,0.027974,0.284814,0.280111,0.10157,0.126904,33.643072
bart,plot+table,on,off,on,0.022284,0.146994,0.382609,0.112294,0.171981,23.915789
bert,plot+table,on,off,on,0.030038,0.16513,0.418733,0.101196,0.191001,29.195159
t5,plot+table,on,off,on,0.01531,0.130022,0.340648,0.104712,0.171369,24.657895
longformer_ext,plot+table,on,off,on,0.029943,0.174774,0.432308,0.087827,0.181538,39.238595
none,plot,on,on,off,0.027896,0.292274,0.285448,0.110412,0.13085,33.710141
bart,plot,on,on,off,0.014745,0.122409,0.321182,0.078973,0.161576,12.070445
bert,plot,on,on,off,0.044537,0.182193,0.424955,0.132246,0.202532,27.403187
t5,plot,on,on,off,0.009653,0.117792,0.32582,0.075975,0.145492,23.723729
longformer_ext,plot,on,on,off,0.028908,0.162878,0.404676,0.115315,0.178058,37.35165
none,table,on,on,off,0.010842,0.257344,0.228355,0.079425,0.106616,32.384486
bart,table,on,on,off,0.009423,0.135611,0.335807,0.068773,0.166976,13.240538
bert,table,on,on,off,0.013344,0.172402,0.382609,0.067944,0.165217,33.410859
t5,table,on,on,off,0.006902,0.142939,0.367113,0.076628,0.164436,38.021174
longformer_ext,table,on,on,off,0.015385,0.152298,0.335878,0.061162,0.166412,43.507519
none,plot+table,on,on,off,0.023335,0.275759,0.256862,0.098512,0.120679,31.879125
bart,plot+table,on,on,off,0.01715,0.148189,0.340587,0.083412,0.170293,14.230443
bert,plot+table,on,on,off,0.019652,0.172235,0.398922,0.081008,0.174304,28.111395
t5,plot+table,on,on,off,0.012758,0.116217,0.315041,0.077393,0.156504,24.927792
longformer_ext,plot+table,on,on,off,0.023712,0.143876,0.360538,0.082659,0.150673,27.587674
none,plot,off,on,on,0.026822,0.279791,0.290345,0.101998,0.130139,35.507628
bart,plot,off,on,on,0.024764,0.163459,0.398482,0.117871,0.185958,31.146342
bert,plot,off,on,on,0.029944,0.160322,0.429644,0.12218,0.202627,40.982928
t5,plot,off,on,on,0.010624,0.11833,0.312815,0.066734,0.155399,27.511671
longformer_ext,plot,off,on,on,0.06918,0.232999,0.49635,0.135965,0.20292,28.058619
none,table,off,on,on,0.014338,0.263852,0.238021,0.08067,0.108298,32.810594
bart,table,off,on,on,0.021843,0.158888,0.396739,0.087114,0.182971,28.142191
bert,table,off,on,on,0.026204,0.171326,0.415128,0.088106,0.177661,31.357886
t5,table,off,on,on,0.007475,0.119186,0.313765,0.070994,0.163968,32.963761
longformer_ext,table,off,on,on,0.034552,0.209169,0.416,0.084487,0.177455,19.852222
none,plot+table,off,on,on,0.025836,0.274532,0.260122,0.096118,0.120831,30.463841
bart,plot+table,off,on,on,0.029993,0.161744,0.40261,0.119514,0.190121,31.238684
bert,plot+table,off,on,on,0.036528,0.167592,0.428184,0.123077,0.187895,37.073107
t5,plot+table,off,on,on,0.01903,0.138515,0.353055,0.083576,0.161009,26.971171
longformer_ext,plot+table,off,on,on,0.049114,0.238447,0.499635,0.118508,0.204529,18.459776
none,plot,on,on,on,0.028683,0.286427,0.288288,0.110469,0.127974,32.374764
bart,plot,on,on,on,0.010889,0.133565,0.335938,0.078278,0.167969,16.91348
bert,plot,on,on,on,0.030544,0.182255,0.448339,0.131238,0.204797,37.657684
t5,plot,on,on,on,0.005914,0.113555,0.304979,0.068607,0.143154,22.19168
longformer_ext,plot,on,on,on,0.036182,0.175128,0.40806,0.099243,0.178002,37.585358
none,table,on,on,on,0.011336,0.257082,0.229937,0.074397,0.108518,30.149652
bart,table,on,on,on,0.020016,0.151493,0.384477,0.083183,0.187726,15.488175
bert,table,on,on,on,0.018818,0.185204,0.427265,0.061615,0.181214,23.714811
t5,table,on,on,on,0.008673,0.122206,0.321138,0.087576,0.152439,28.574052
longformer_ext,table,on,on,on,0.012941,0.132432,0.340848,0.065041,0.155095,40.254157
none,plot+table,on,on,on,0.022948,0.279474,0.248196,0.094665,0.115477,30.647625
bart,plot+table,on,on,on,0.029015,0.163058,0.396694,0.097516,0.185491,20.822521
bert,plot+table,on,on,on,0.037652,0.187641,0.42205,0.093184,0.184324,27.901929
t5,plot+table,on,on,on,0.018422,0.130255,0.337349,0.076459,0.15261,29.253507
longformer_ext,plot+table,on,on,on,0.000465,0.033113,0.119695,0.008724,0.073993,36.910444
none,plot,off,off,off,0.038895,0.303519,0.352872,0.124963,0.153756,45.029232
bart,plot,off,off,off,0.016171,0.134999,0.360324,0.117647,0.17004,36.822751
bert,plot,off,off,off,0.020986,0.151257,0.405432,0.124393,0.184287,37.299596
t5,plot,off,off,off,0.004076,0.093779,0.273333,0.095768,0.144444,34.257003
longformer_ext,plot,off,off,off,0.029351,0.180396,0.430556,0.097391,0.197917,30.7825
none,table,off,off,off,0.014854,0.25539,0.233974,0.08016,0.112179,43.215782
bart,table,off,off,off,0.014327,0.154444,0.386921,0.092812,0.179837,37.530451
bert,table,off,off,off,0.020415,0.184432,0.424189,0.112379,0.177038,38.778811
t5,table,off,off,off,0.006677,0.106139,0.28,0.065401,0.138947,44.169549
longformer_ext,table,off,off,off,0.0376,0.23073,0.494012,0.101949,0.196108,31.415385
none,plot+table,off,off,off,0.031988,0.274037,0.27287,0.101141,0.124804,40.310812
