Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease,Summarizer
plot,off,off,off,0.010272,0.112412,0.352448,0.086957,0.170629,25.0585,bart
plot,off,off,off,0.031368,0.258451,0.5,0.109777,0.190068,31.106287,bert
plot,off,off,off,0.02763,0.200575,0.451613,0.081897,0.167742,14.553863,longformer_ext
plot,off,off,off,0.007453,0.109278,0.291605,0.079764,0.153166,37.110696,t5
plot,off,off,off,0.001528,0.103649,0.286402,0.082027,0.129964,28.452177,bart
plot,off,off,off,0.020564,0.219582,0.492899,0.118828,0.192147,32.757753,bert
plot,off,off,off,0.011616,0.183034,0.436803,0.074488,0.152416,25.654444,longformer_ext
plot,off,off,off,0.001466,0.095201,0.284337,0.062802,0.118072,40.349283,t5
plot,off,off,off,0.011812,0.134853,0.327461,0.130841,0.172021,56.09558,bart
plot,off,off,off,0.039419,0.255503,0.537715,0.164547,0.206124,37.230228,bert
plot,off,off,off,0.033782,0.183038,0.472269,0.116162,0.186555,57.647439,longformer_ext
plot,off,off,off,0.001292,0.081301,0.228128,0.073252,0.124031,59.4643,t5
table,off,off,off,0.020937,0.160139,0.391357,0.072202,0.153661,15.984319,bart
table,off,off,off,0.023665,0.26532,0.385733,0.093915,0.150594,22.609972,bert
table,off,off,off,0.029273,0.195784,0.39243,0.071856,0.149402,24.141471,longformer_ext
table,off,off,off,0.016757,0.135439,0.330749,0.054404,0.147287,40.020649,t5
table,off,off,off,0.005913,0.123975,0.325843,0.085586,0.137079,23.193398,bart
table,off,off,off,0.012625,0.218928,0.441734,0.088195,0.153117,25.28611,bert
table,off,off,off,0.011474,0.169722,0.397059,0.071823,0.147059,28.222011,longformer_ext
table,off,off,off,0.00334,0.103126,0.277842,0.066743,0.119403,31.691813,t5
table,off,off,off,0.011504,0.14346,0.357143,0.121272,0.184524,50.809563,bart
table,off,off,off,0.045056,0.242149,0.492489,0.129496,0.194644,18.222012,bert
table,off,off,off,0.016669,0.160779,0.41136,0.1,0.158348,47.743913,longformer_ext
table,off,off,off,0.001255,0.08869,0.237288,0.050955,0.127119,64.888567,t5
plot+table,off,off,off,0.012008,0.120848,0.32345,0.062162,0.148248,29.505642,bart
plot+table,off,off,off,0.013448,0.251308,0.445743,0.086957,0.173623,30.565957,bert
plot+table,off,off,off,0.026226,0.174072,0.402235,0.06495,0.172067,13.555083,longformer_ext
plot+table,off,off,off,0.016573,0.121875,0.341722,0.074369,0.145695,37.182479,t5
plot+table,off,off,off,0.001524,0.102928,0.278788,0.065614,0.121212,24.509728,bart
plot+table,off,off,off,0.024452,0.207495,0.4608,0.102564,0.1776,37.067814,bert
plot+table,off,off,off,0.013857,0.17119,0.411387,0.068077,0.152433,24.407068,longformer_ext
plot+table,off,off,off,0.00221,0.101731,0.293839,0.064133,0.120853,48.117604,t5
plot+table,off,off,off,0.003496,0.09344,0.253491,0.079656,0.131042,46.139895,bart
plot+table,off,off,off,0.048845,0.243273,0.503153,0.129123,0.193413,33.649163,bert
plot+table,off,off,off,0.022029,0.173266,0.38801,0.076731,0.158201,42.556675,longformer_ext
plot+table,off,off,off,0.001134,0.080353,0.229368,0.038668,0.109325,56.181358,t5
plot,on,off,off,0.017938,0.156964,0.384824,0.100543,0.176152,30.448,bart
plot,on,off,off,0.031972,0.246015,0.481702,0.105712,0.185532,25.782885,bert
plot,on,off,off,0.032609,0.181456,0.413502,0.099366,0.170886,20.175102,longformer_ext
plot,on,off,off,0.000884,0.074129,0.248466,0.027692,0.119632,38.615652,t5
plot,on,off,off,0.003055,0.127693,0.319635,0.04119,0.127854,56.198831,bart
plot,on,off,off,0.018218,0.196433,0.455546,0.086514,0.154107,52.634269,bert
plot,on,off,off,0.004078,0.130515,0.339623,0.048319,0.127883,72.714195,longformer_ext
plot,on,off,off,0.000648,0.085411,0.270807,0.062267,0.121739,67.217151,t5
plot,on,off,off,0.003683,0.104387,0.290221,0.090622,0.155626,44.770552,bart
plot,on,off,off,0.023878,0.233654,0.520463,0.148492,0.211583,37.701009,bert
plot,on,off,off,0.031334,0.207087,0.485106,0.163683,0.200851,41.298049,longformer_ext
plot,on,off,off,0.001748,0.085979,0.266085,0.080874,0.137405,38.532143,t5
table,on,off,off,0.020335,0.162153,0.394705,0.069964,0.170878,29.05875,bart
table,on,off,off,0.019385,0.257047,0.375,0.080545,0.141089,16.653333,bert
table,on,off,off,0.029097,0.190615,0.372093,0.06151,0.148837,38.472201,longformer_ext
table,on,off,off,0.008159,0.12985,0.32419,0.0375,0.119701,44.901403,t5
table,on,off,off,0.006214,0.123198,0.32194,0.059669,0.130099,42.457047,bart
table,on,off,off,0.013357,0.222087,0.433498,0.07611,0.133709,30.03579,bert
table,on,off,off,0.004525,0.129676,0.333977,0.032882,0.138996,63.363744,longformer_ext
table,on,off,off,0.001541,0.094274,0.290822,0.04779,0.128725,54.684287,t5
table,on,off,off,0.003372,0.10452,0.285425,0.075051,0.135628,30.689615,bart
table,on,off,off,0.0262,0.23907,0.454784,0.108924,0.186107,20.613938,bert
table,on,off,off,0.012428,0.166166,0.406518,0.085911,0.157804,38.859694,longformer_ext
table,on,off,off,0.000931,0.075614,0.244111,0.036481,0.111349,33.047308,t5
plot+table,on,off,off,0.017431,0.147022,0.381963,0.090426,0.159151,16.973267,bart
plot+table,on,off,off,0.021748,0.257436,0.400576,0.082251,0.158501,22.119945,bert
plot+table,on,off,off,0.013892,0.170864,0.395324,0.061768,0.142402,37.092452,longformer_ext
plot+table,on,off,off,0.00337,0.116895,0.328,0.034759,0.125333,46.358471,t5
plot+table,on,off,off,0.001894,0.121829,0.335632,0.041475,0.126437,54.126776,bart
plot+table,on,off,off,0.017189,0.199806,0.439705,0.078882,0.149303,42.994277,bert
plot+table,on,off,off,0.009787,0.123964,0.321083,0.050388,0.125725,36.505034,longformer_ext
plot+table,on,off,off,0.001225,0.080862,0.255786,0.04884,0.121803,50.387136,t5
plot+table,on,off,off,0.003288,0.083436,0.238967,0.0863,0.13563,37.023125,bart
plot+table,on,off,off,0.026706,0.233007,0.476471,0.113402,0.185294,39.969723,bert
plot+table,on,off,off,0.017396,0.186128,0.421141,0.107563,0.172819,44.321812,longformer_ext
plot+table,on,off,off,0.001872,0.083515,0.250811,0.067172,0.12973,49.948189,t5
plot,off,on,off,0.008624,0.115539,0.322034,0.05949,0.146893,25.339375,bart
plot,off,on,off,0.024489,0.246474,0.465313,0.101695,0.186125,22.549474,bert
plot,off,on,off,0.027579,0.18709,0.39375,0.075157,0.158333,20.649877,longformer_ext
plot,off,on,off,0.01047,0.115387,0.310296,0.059406,0.157969,21.361627,t5
plot,off,on,off,0.002926,0.104525,0.307329,0.090047,0.130024,22.370588,bart
plot,off,on,off,0.023014,0.218319,0.481052,0.120837,0.188708,33.702247,bert
plot,off,on,off,0.006975,0.181179,0.41989,0.073801,0.145488,21.738931,longformer_ext
plot,off,on,off,0.006201,0.129789,0.354235,0.099228,0.140814,23.121681,t5
plot,off,on,off,0.003928,0.101319,0.27224,0.10956,0.141479,43.339949,bart
plot,off,on,off,0.056118,0.264894,0.521558,0.149025,0.20306,29.023588,bert
plot,off,on,off,0.026323,0.18011,0.409207,0.114432,0.165388,34.360238,longformer_ext
plot,off,on,off,0.006044,0.09957,0.266807,0.084211,0.132353,52.21058,t5
table,off,on,off,0.025813,0.147575,0.365884,0.079306,0.140915,22.203114,bart
table,off,on,off,0.022637,0.236547,0.386318,0.09268,0.151576,13.937084,bert
table,off,on,off,0.02861,0.167823,0.346399,0.052968,0.129444,26.071629,longformer_ext
table,off,on,off,0.014138,0.120513,0.307483,0.057299,0.144218,31.381538,t5
table,off,on,off,0.007427,0.123845,0.33114,0.076923,0.133772,30.891304,bart
table,off,on,off,0.013818,0.223038,0.455923,0.110345,0.161157,20.799841,bert
table,off,on,off,0.009696,0.178081,0.41989,0.081181,0.141805,26.761667,longformer_ext
table,off,on,off,0.001929,0.094842,0.251469,0.054181,0.105758,23.214592,t5
table,off,on,off,0.010018,0.118859,0.3083,0.079208,0.140316,47.443517,bart
table,off,on,off,0.044273,0.261718,0.491039,0.120813,0.185185,20.449353,bert
table,off,on,off,0.011071,0.161403,0.392226,0.092035,0.159011,39.923521,longformer_ext
table,off,on,off,0.001402,0.07799,0.225564,0.051668,0.120301,42.870214,t5
plot+table,off,on,off,0.00747,0.14004,0.37351,0.063745,0.153642,28.54743,bart
plot+table,off,on,off,0.015177,0.250107,0.446945,0.088567,0.163987,19.940166,bert
plot+table,off,on,off,0.01142,0.177124,0.4,0.061002,0.13913,21.397648,longformer_ext
plot+table,off,on,off,0.016302,0.132344,0.371274,0.078804,0.165312,30.600205,t5
plot+table,off,on,off,0.000952,0.097173,0.289505,0.065296,0.125452,32.782,bart
plot+table,off,on,off,0.018683,0.217417,0.474654,0.098462,0.184332,28.420998,bert
plot+table,off,on,off,0.007145,0.191908,0.435107,0.074836,0.136321,29.880733,longformer_ext
plot+table,off,on,off,0.001142,0.087608,0.264885,0.060901,0.111786,33.0065,t5
plot+table,off,on,off,0.009417,0.126469,0.313568,0.096677,0.156784,47.405566,bart
plot+table,off,on,off,0.040184,0.255825,0.477477,0.121134,0.181467,14.463445,bert
plot+table,off,on,off,0.021647,0.159473,0.394247,0.091525,0.155668,35.836537,longformer_ext
plot+table,off,on,off,0.008305,0.108509,0.298688,0.082912,0.147326,45.410283,t5
plot,off,off,on,0.019322,0.164088,0.401525,0.084076,0.160102,25.560569,bart
plot,off,off,on,0.024144,0.254414,0.438486,0.090047,0.165615,17.314848,bert
plot,off,off,on,0.028918,0.179618,0.390977,0.068891,0.161117,4.120691,longformer_ext
plot,off,off,on,0.014024,0.126203,0.31136,0.075949,0.143058,31.434889,t5
plot,off,off,on,0.006562,0.158629,0.396533,0.106406,0.149512,28.520031,bart
plot,off,off,on,0.013302,0.239899,0.50366,0.11437,0.174231,41.821075,bert
plot,off,off,on,0.007204,0.212759,0.502762,0.108856,0.154696,14.290503,longformer_ext
plot,off,off,on,0.004451,0.126926,0.357466,0.086168,0.135747,31.622135,t5
plot,off,off,on,0.018605,0.138126,0.373047,0.119374,0.183594,37.423441,bart
plot,off,off,on,0.067644,0.272337,0.5349,0.155017,0.223912,31.009456,bert
plot,off,off,on,0.014508,0.171066,0.4103,0.082545,0.161373,39.334792,longformer_ext
plot,off,off,on,0.001405,0.095905,0.257384,0.065539,0.130802,53.221648,t5
table,off,off,on,0.021913,0.154921,0.385572,0.089776,0.164179,18.677448,bart
table,off,off,on,0.020024,0.26729,0.41522,0.092246,0.157543,15.747365,bert
table,off,off,on,0.030271,0.212202,0.398222,0.071238,0.158222,29.444515,longformer_ext
table,off,off,on,0.020631,0.155287,0.366234,0.083333,0.166234,18.393406,t5
table,off,off,on,0.006588,0.12414,0.344828,0.089186,0.137931,24.848333,bart
table,off,off,on,0.011355,0.223296,0.468531,0.088235,0.162238,17.780652,bert
table,off,off,on,0.009438,0.175695,0.410681,0.083026,0.141805,20.436585,longformer_ext
table,off,off,on,0.002228,0.10675,0.29036,0.060536,0.123113,41.472418,t5
table,off,off,on,0.011178,0.118298,0.337945,0.108911,0.162055,39.109078,bart
table,off,off,on,0.0335,0.251069,0.482209,0.111794,0.179141,8.402632,bert
table,off,off,on,0.020167,0.160226,0.39322,0.096774,0.154237,41.270053,longformer_ext
table,off,off,on,0.011226,0.115172,0.292929,0.078947,0.153535,35.840395,t5
plot+table,off,off,on,0.017178,0.144015,0.408521,0.075377,0.165414,26.173663,bart
plot+table,off,off,on,0.024168,0.280471,0.425532,0.09233,0.161702,18.079783,bert
plot+table,off,off,on,0.024464,0.155795,0.345123,0.066595,0.150054,34.327427,longformer_ext
