Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
none,plot,off,off,off,0.051705,0.329172,0.414674,0.197195,0.221764,52.805135
bart,plot,off,off,off,0.023278,0.158896,0.359338,0.113744,0.174941,36.100455
bert,plot,off,off,off,0.010703,0.122445,0.313589,0.093132,0.167247,41.968169
t5,plot,off,off,off,0.003199,0.107221,0.291092,0.072956,0.135508,59.634
longformer_ext,plot,off,off,off,0.040802,0.15678,0.407882,0.102665,0.206897,48.734646
none,table,off,off,off,0.023394,0.265423,0.293197,0.121333,0.153715,43.441724
bart,table,off,off,off,0.030492,0.142036,0.348917,0.112,0.193843,42.102353
bert,table,off,off,off,0.015532,0.154512,0.351832,0.102833,0.173822,36.72057
t5,table,off,off,off,0.010272,0.117987,0.31345,0.072685,0.133333,39.318371
longformer_ext,table,off,off,off,0.007584,0.11537,0.336364,0.104784,0.134091,33.515606
none,plot+table,off,off,off,0.038582,0.302094,0.339809,0.160132,0.177149,45.755436
bart,plot+table,off,off,off,0.012206,0.105652,0.281588,0.086852,0.154031,50.847449
bert,plot+table,off,off,off,0.010951,0.117548,0.27927,0.073197,0.143931,32.54075
t5,plot+table,off,off,off,0.012071,0.114897,0.301435,0.095923,0.155502,52.989705
longformer_ext,plot+table,off,off,off,0.034566,0.155656,0.341418,0.097196,0.154851,39.335279
none,plot,on,off,off,0.033044,0.277353,0.306212,0.140064,0.163313,49.749678
bart,plot,on,off,off,0.007245,0.127991,0.331415,0.071511,0.165708,40.605355
bert,plot,on,off,off,0.027485,0.167316,0.408602,0.137931,0.2,46.359868
t5,plot,on,off,off,0.006183,0.127009,0.306433,0.075029,0.163743,46.494328
longformer_ext,plot,on,off,off,0.028998,0.118823,0.314451,0.090382,0.152601,43.081451
none,table,on,off,off,0.017947,0.233552,0.234179,0.090007,0.120838,45.728812
bart,table,on,off,off,0.013016,0.141856,0.327273,0.081458,0.154011,47.341932
bert,table,on,off,off,0.01551,0.152221,0.344562,0.077146,0.161694,33.223687
t5,table,on,off,off,0.011268,0.129884,0.293987,0.080357,0.151448,49.290273
longformer_ext,table,on,off,off,0.012385,0.108888,0.260447,0.044791,0.118562,54.529448
none,plot+table,on,off,off,0.027958,0.266768,0.26925,0.119335,0.140413,46.246662
bart,plot+table,on,off,off,0.046162,0.151402,0.353814,0.110403,0.169492,45.630358
bert,plot+table,on,off,off,0.029975,0.165409,0.399209,0.114851,0.183794,36.068061
