Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
none,plot,off,off,off,0.014126,0.25075,0.239171,0.067211,0.120527,46.683379
bart,plot,off,off,off,0.028103,0.157375,0.388175,0.100515,0.172237,36.825802
bert,plot,off,off,off,0.012272,0.159459,0.40096,0.069795,0.165666,41.86679
t5,plot,off,off,off,0.002756,0.118419,0.309659,0.054131,0.139205,27.577744
longformer_ext,plot,off,off,off,0.043524,0.188716,0.406283,0.096537,0.180105,32.333467
none,table,off,off,off,0.010341,0.208354,0.165366,0.050644,0.085214,37.2336
bart,table,off,off,off,0.038355,0.171064,0.408019,0.111111,0.183962,31.056627
bert,table,off,off,off,0.027709,0.194882,0.383023,0.074689,0.167702,34.201704
t5,table,off,off,off,0.009659,0.162867,0.375152,0.068376,0.163216,20.353
longformer_ext,table,off,off,off,0.04615,0.200519,0.417629,0.103049,0.182581,34.978667
none,plot+table,off,off,off,0.014121,0.225881,0.19257,0.056637,0.096032,40.249156
bart,plot+table,off,off,off,0.027319,0.149856,0.351485,0.08933,0.148515,25.438256
bert,plot+table,off,off,off,0.025699,0.180968,0.376652,0.083885,0.171806,30.270433
t5,plot+table,off,off,off,0.012348,0.15433,0.365789,0.079156,0.157895,39.9512
longformer_ext,plot+table,off,off,off,0.048699,0.222155,0.420405,0.105727,0.175901,34.864858
none,plot,on,off,off,0.014445,0.250604,0.237135,0.06745,0.115558,41.718133
bart,plot,on,off,off,0.026897,0.163722,0.38481,0.091371,0.167089,18.193846
bert,plot,on,off,off,0.016934,0.179801,0.420571,0.087056,0.180571,30.621255
t5,plot,on,off,off,0.014104,0.143766,0.374332,0.075067,0.152406,39.384022
longformer_ext,plot,on,off,off,0.014028,0.149588,0.361174,0.054299,0.133183,37.846821
none,table,on,off,off,0.010819,0.208406,0.157134,0.045931,0.083119,40.213427
bart,table,on,off,off,0.039194,0.204345,0.439182,0.097087,0.189451,29.670123
bert,table,on,off,off,0.015018,0.17151,0.345654,0.058058,0.163836,27.066149
t5,table,on,off,off,0.018557,0.168878,0.40678,0.089806,0.171913,35.764048
longformer_ext,table,on,off,off,0.032413,0.171375,0.362903,0.080808,0.141129,55.87432
none,plot+table,on,off,off,0.012978,0.227476,0.186489,0.055688,0.096575,38.916984
bart,plot+table,on,off,off,0.030667,0.167295,0.381406,0.09319,0.171633,25.678275
