Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Example,0.00366282,0.06218116,0.07809777,0.00730817,0.00327094,1.92802611
Evidence,0.35379467,0.00255411,0.29492792,1.41381566,1.44552874,1.00777670
Evidence_AND_Example,0.36888729,0.06809384,0.39554066,1.47164978,1.51972520,3.11706308
Evidence_AND_Insights,0.36729337,0.00616659,0.33415092,1.53429616,1.81999553,3.61593683
Evidence_AND_Role,0.84138604,0.06482631,0.47986135,2.29573476,2.58601637,1.46541665
Insights,0.00911332,0.00020617,0.02989576,0.10316331,0.36527352,2.27213302
Insights_AND_Example,0.01282868,0.06289934,0.10880165,0.11054553,0.37312333,4.33870795
Role,0.41024243,0.05441403,0.13745111,0.80493070,1.06363148,0.32287027
Role_AND_Example,0.41573861,0.11659722,0.21560599,0.81385643,1.07595480,2.25430786
Role_AND_Insights,0.41955843,0.05474279,0.16896429,0.90817078,1.42953148,2.61978878
Summarizer,18.87006806,19.83712070,19.08979162,17.42438684,16.36716799,13.94637650
Summarizer_AND_Example,19.13576941,19.92693015,19.51010235,17.58681937,17.00557472,16.18948485
Summarizer_AND_Evidence,20.49094426,19.98484485,20.60702849,19.61904318,20.29519900,15.92582444
Summarizer_AND_Insights,18.95779166,19.85147292,19.25880926,17.60400789,16.95922777,16.37027699
Summarizer_AND_Role,19.34292095,19.90694984,19.29097088,18.30227144,17.69077912,14.62600997
