Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
none,plot,on,on,off,0.063364,0.063364,0.063364,0.031682,0.063364,0.0
bart,plot,on,on,off,0.120968,0.120968,0.120968,0.060484,0.120968,0.0
bert,plot,on,on,off,0.116959,0.116959,0.116959,0.05848,0.116959,0.0
t5,plot,on,on,off,0.139183,0.139183,0.139183,0.069592,0.139183,0.0
longformer_ext,plot,on,on,off,0.02863,0.02863,0.02863,0.014315,0.02863,12.0
none,table,on,on,off,0.069943,0.069943,0.069943,0.034971,0.069943,0.0
bart,table,on,on,off,0.152327,0.152327,0.152327,0.076164,0.152327,0.0
bert,table,on,on,off,0.115543,0.115543,0.115543,0.057772,0.115543,0.0
t5,table,on,on,off,0.116279,0.116279,0.116279,0.05814,0.116279,0.0
longformer_ext,table,on,on,off,0.115656,0.115656,0.115656,0.057828,0.115656,0.0
none,plot+table,on,on,off,0.067669,0.067669,0.067669,0.033835,0.067669,0.0
bart,plot+table,on,on,off,0.151515,0.151515,0.151515,0.075758,0.151515,0.0
bert,plot+table,on,on,off,0.116456,0.116456,0.116456,0.058228,0.116456,0.0
t5,plot+table,on,on,off,0.1568,0.1568,0.1568,0.0784,0.1568,0.0
longformer_ext,plot+table,on,on,off,0.146875,0.146875,0.146875,0.073438,0.146875,0.0
none,plot,off,on,on,0.088448,0.088448,0.088448,0.044224,0.088448,0.0
bart,plot,off,on,on,0.138614,0.138614,0.138614,0.069307,0.138614,0.0
bert,plot,off,on,on,0.145833,0.145833,0.145833,0.072917,0.145833,0.0
t5,plot,off,on,on,0.14386,0.14386,0.14386,0.07193,0.14386,0.0
longformer_ext,plot,off,on,on,0.117647,0.117647,0.117647,0.058824,0.117647,0.0
none,table,off,on,on,0.083273,0.083273,0.083273,0.041636,0.083273,0.0
bart,table,off,on,on,0.140984,0.140984,0.140984,0.070492,0.140984,0.0
bert,table,off,on,on,0.121212,0.121212,0.121212,0.060606,0.121212,0.0
t5,table,off,on,on,0.127737,0.127737,0.127737,0.063869,0.127737,0.0
longformer_ext,table,off,on,on,0.104907,0.104907,0.104907,0.052453,0.104907,0.0
none,plot+table,off,on,on,0.073225,0.073225,0.073225,0.036613,0.073225,0.0
bart,plot+table,off,on,on,0.168571,0.168571,0.168571,0.084286,0.168571,0.0
bert,plot+table,off,on,on,0.13172,0.13172,0.13172,0.06586,0.13172,0.0
t5,plot+table,off,on,on,0.14359,0.14359,0.14359,0.071795,0.14359,0.0
longformer_ext,plot+table,off,on,on,0.082305,0.082305,0.082305,0.041152,0.082305,14.4
none,plot,on,on,on,0.066959,0.066959,0.066959,0.03348,0.066959,0.0
bart,plot,on,on,on,0.147945,0.147945,0.147945,0.073973,0.147945,0.0
bert,plot,on,on,on,0.13826,0.13826,0.13826,0.06913,0.13826,0.0
t5,plot,on,on,on,0.165625,0.165625,0.165625,0.082812,0.165625,0.0
longformer_ext,plot,on,on,on,0.104948,0.104948,0.104948,0.052474,0.104948,0.0
none,table,on,on,on,0.069983,0.069983,0.069983,0.034991,0.069983,0.0
bart,table,on,on,on,0.152493,0.152493,0.152493,0.076246,0.152493,0.0
