Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease,Summarizer
plot,off,off,on,0.02005,0.145283,0.376404,0.091932,0.155431,28.171486,bart
plot,off,off,on,0.019989,0.278189,0.443859,0.082322,0.161307,1.032115,bert
plot,off,off,on,0.004956,0.09678,0.269388,0.05726,0.140816,20.921847,longformer_ext
plot,off,off,on,0.017484,0.132325,0.322083,0.085024,0.154291,16.876765,t5
plot,off,off,on,0.041425,0.183986,0.409715,0.129101,0.200634,21.975028,bart
plot,off,off,on,0.037536,0.278864,0.425393,0.133623,0.164948,-3.471241,bert
plot,off,off,on,0.04279,0.171578,0.361789,0.095723,0.178862,8.090549,longformer_ext
plot,off,off,on,0.021393,0.140977,0.382096,0.118162,0.170306,21.632222,t5
table,off,off,on,0.017402,0.129172,0.32037,0.064935,0.161111,14.945832,bart
table,off,off,on,0.022112,0.26641,0.403378,0.066634,0.155986,0.902565,bert
table,off,off,on,0.0,0.006322,0.01937,0.002427,0.012107,-753.355,longformer_ext
table,off,off,on,0.015644,0.123109,0.313653,0.053604,0.149446,8.975596,t5
table,off,off,on,0.032597,0.156103,0.365751,0.112288,0.167019,14.092538,bart
table,off,off,on,0.035842,0.261857,0.422434,0.11589,0.159905,-1.906395,bert
table,off,off,on,0.052929,0.190914,0.354067,0.100639,0.157895,25.574602,longformer_ext
table,off,off,on,0.013751,0.138152,0.358306,0.095756,0.152009,28.296707,t5
plot+table,off,off,on,0.029787,0.168999,0.408163,0.091993,0.181973,16.104468,bart
plot+table,off,off,on,0.019611,0.287473,0.423391,0.082577,0.149592,3.166697,bert
plot+table,off,off,on,0.016243,0.173559,0.374901,0.060461,0.150913,23.333593,longformer_ext
plot+table,off,off,on,0.016924,0.134879,0.31244,0.077295,0.148505,13.793962,t5
plot+table,off,off,on,0.039057,0.166556,0.37037,0.124454,0.189542,27.999858,bart
plot+table,off,off,on,0.034507,0.271197,0.395203,0.114351,0.164477,-0.31574,bert
plot+table,off,off,on,0.02288,0.161601,0.334507,0.058201,0.128521,22.073055,longformer_ext
plot+table,off,off,on,0.0075,0.136315,0.320879,0.07489,0.142857,37.569334,t5
plot,on,off,on,0.028036,0.168298,0.415929,0.10461,0.184071,20.086538,bart
plot,on,off,on,0.015581,0.287508,0.445287,0.09578,0.170535,0.829567,bert
plot,on,off,on,0.017958,0.180984,0.402025,0.081101,0.173536,8.904442,longformer_ext
plot,on,off,on,0.009352,0.130266,0.317669,0.05838,0.139098,22.758333,t5
plot,on,off,on,0.020908,0.147899,0.380342,0.124197,0.185897,34.207097,bart
plot,on,off,on,0.018037,0.236673,0.37935,0.094077,0.143852,-2.9,bert
plot,on,off,on,0.030831,0.190147,0.340528,0.073659,0.153477,-2.032892,longformer_ext
plot,on,off,on,0.01084,0.136373,0.325973,0.073762,0.155626,11.214987,t5
table,on,off,on,0.020324,0.188772,0.423701,0.079675,0.191558,24.672147,bart
table,on,off,on,0.009567,0.272113,0.373635,0.069477,0.141966,0.871063,bert
table,on,off,on,0.017619,0.234313,0.444,0.078772,0.185333,19.158184,longformer_ext
table,on,off,on,0.010376,0.135406,0.354167,0.050435,0.149306,29.318533,t5
table,on,off,on,0.015781,0.155432,0.379072,0.104847,0.175716,16.520489,bart
table,on,off,on,0.00844,0.249488,0.364892,0.086871,0.129191,-5.584157,bert
table,on,off,on,0.006472,0.099795,0.235504,0.044683,0.096343,-17.864494,longformer_ext
table,on,off,on,0.01806,0.170923,0.363112,0.076997,0.159462,18.134231,t5
plot+table,on,off,on,0.029796,0.164051,0.384483,0.096718,0.177586,17.486153,bart
plot+table,on,off,on,0.016197,0.281875,0.398837,0.079834,0.153718,3.116649,bert
plot+table,on,off,on,0.011982,0.181569,0.411024,0.059937,0.171654,22.171176,longformer_ext
plot+table,on,off,on,0.006684,0.139484,0.35348,0.049541,0.150183,19.738686,t5
plot+table,on,off,on,0.035612,0.163524,0.379507,0.081749,0.16129,28.263474,bart
plot+table,on,off,on,0.01105,0.261107,0.378664,0.090428,0.132629,-1.699059,bert
plot+table,on,off,on,0.016333,0.15741,0.376997,0.0752,0.126198,17.733569,longformer_ext
plot+table,on,off,on,0.032591,0.179649,0.385199,0.091255,0.159393,32.29039,t5
plot,on,on,off,0.01651,0.179301,0.412724,0.073529,0.168026,11.452094,bart
plot,on,on,off,0.016277,0.281164,0.407821,0.071885,0.138069,-3.901652,bert
plot,on,on,off,0.01345,0.187411,0.389817,0.062151,0.170247,11.596099,longformer_ext
plot,on,on,off,0.012863,0.13869,0.363796,0.045775,0.137083,8.739218,t5
plot,on,on,off,0.016048,0.172394,0.406812,0.098578,0.160833,16.421759,bart
plot,on,on,off,0.02085,0.258775,0.37058,0.108542,0.129184,-7.624637,bert
plot,on,on,off,0.02421,0.199265,0.368502,0.079632,0.149847,0.919916,longformer_ext
plot,on,on,off,0.025268,0.179717,0.41109,0.099617,0.164436,15.33872,t5
table,on,on,off,0.025147,0.187394,0.392067,0.061115,0.163234,5.655735,bart
table,on,on,off,0.009487,0.264751,0.346282,0.053314,0.121347,-4.113913,bert
table,on,on,off,0.010599,0.169996,0.368976,0.037707,0.153614,1.283077,longformer_ext
table,on,on,off,0.006463,0.122989,0.300169,0.030405,0.11973,5.867654,t5
table,on,on,off,0.013019,0.156401,0.366454,0.076712,0.149499,9.434362,bart
table,on,on,off,0.008555,0.258632,0.328515,0.072775,0.120018,-7.929503,bert
table,on,on,off,0.022906,0.166696,0.324686,0.063705,0.133891,24.084425,longformer_ext
table,on,on,off,0.015864,0.167561,0.351711,0.070476,0.142586,23.369033,t5
plot+table,on,on,off,0.02113,0.151728,0.379195,0.068908,0.167785,14.917849,bart
plot+table,on,on,off,0.011787,0.286291,0.402772,0.080783,0.147574,-1.941032,bert
plot+table,on,on,off,0.012025,0.185204,0.418499,0.066819,0.177407,22.9355,longformer_ext
plot+table,on,on,off,0.008962,0.149344,0.332174,0.036585,0.135652,22.352192,t5
plot+table,on,on,off,0.04368,0.188155,0.41982,0.110108,0.18018,34.25145,bart
plot+table,on,on,off,0.009144,0.25744,0.348888,0.085552,0.122111,0.06353,bert
plot+table,on,on,off,0.021242,0.174581,0.387625,0.074749,0.172884,17.360527,longformer_ext
plot+table,on,on,off,0.016072,0.151907,0.361974,0.080586,0.131627,12.584775,t5
plot,off,on,on,0.015449,0.16393,0.401024,0.08547,0.165529,14.174755,bart
plot,off,on,on,0.024894,0.282605,0.42247,0.078067,0.141133,-5.140817,bert
plot,off,on,on,0.015208,0.139373,0.354493,0.082576,0.136851,6.034413,longformer_ext
plot,off,on,on,0.015328,0.128293,0.320737,0.059095,0.143779,1.283607,t5
plot,off,on,on,0.040505,0.191623,0.435039,0.120316,0.188976,14.399758,bart
plot,off,on,on,0.025396,0.249894,0.382979,0.103301,0.145745,-10.321423,bert
plot,off,on,on,0.044915,0.17292,0.372637,0.091975,0.158416,4.815992,longformer_ext
plot,off,on,on,0.008875,0.128229,0.352941,0.104803,0.154684,6.342317,t5
table,off,on,on,0.010396,0.150921,0.371117,0.053827,0.146096,14.847167,bart
table,off,on,on,0.012566,0.270468,0.373538,0.057327,0.137959,-11.367215,bert
table,off,on,on,0.005833,0.134246,0.2969,0.037582,0.132137,6.836334,longformer_ext
table,off,on,on,0.010649,0.160165,0.369511,0.063071,0.155758,5.086152,t5
table,off,on,on,0.037748,0.187703,0.431887,0.119312,0.187689,34.751677,bart
table,off,on,on,0.026683,0.266144,0.395312,0.103467,0.149174,0.777072,bert
table,off,on,on,0.05208,0.204732,0.36741,0.103156,0.156802,6.287914,longformer_ext
table,off,on,on,0.011871,0.134283,0.321767,0.069547,0.143007,13.83497,t5
plot+table,off,on,on,0.036836,0.174769,0.414938,0.078138,0.175934,18.139231,bart
plot+table,off,on,on,0.013999,0.278588,0.384399,0.063581,0.140732,-4.647727,bert
plot+table,off,on,on,0.007204,0.138035,0.327335,0.039485,0.128535,10.256345,longformer_ext
plot+table,off,on,on,0.023702,0.162028,0.375212,0.07483,0.152801,15.403529,t5
plot+table,off,on,on,0.036671,0.178748,0.375123,0.098912,0.16387,6.93067,bart
plot+table,off,on,on,0.028357,0.27697,0.397679,0.110876,0.154008,-6.362927,bert
plot+table,off,on,on,0.045342,0.181261,0.344638,0.089991,0.16132,4.202279,longformer_ext
plot+table,off,on,on,0.01434,0.145294,0.370293,0.096436,0.156904,13.721042,t5
plot,on,on,on,0.027131,0.182539,0.42822,0.09203,0.175554,20.088685,bart
plot,on,on,on,0.013753,0.284271,0.400163,0.075041,0.146699,-6.17608,bert
plot,on,on,on,0.016684,0.196432,0.419429,0.075676,0.1835,17.751973,longformer_ext
plot,on,on,on,0.008581,0.145176,0.349869,0.040105,0.127067,9.785245,t5
plot,on,on,on,0.051707,0.220466,0.468124,0.131387,0.185792,21.066371,bart
plot,on,on,on,0.011377,0.227684,0.320588,0.083415,0.123529,-13.14463,bert
plot,on,on,on,0.022935,0.181394,0.360159,0.073424,0.143426,-12.341538,longformer_ext
plot,on,on,on,0.01558,0.159519,0.361516,0.079844,0.145773,12.150161,t5
table,on,on,on,0.024911,0.171473,0.392552,0.063714,0.161365,7.824178,bart
table,on,on,on,0.009056,0.277087,0.354144,0.061381,0.132165,0.822857,bert
table,on,on,on,0.013996,0.170119,0.363775,0.042683,0.149163,2.763562,longformer_ext
table,on,on,on,0.012137,0.162168,0.372323,0.039604,0.135091,26.14094,t5
table,on,on,on,0.022718,0.193629,0.403086,0.098551,0.16972,23.552597,bart
table,on,on,on,0.01245,0.248492,0.355619,0.091125,0.129919,-9.647655,bert
table,on,on,on,0.025266,0.169153,0.421053,0.114236,0.159649,0.328719,longformer_ext
table,on,on,on,0.015363,0.153849,0.343195,0.06917,0.147929,20.518988,t5
plot+table,on,on,on,0.032369,0.169096,0.391632,0.080469,0.177406,12.877226,bart
plot+table,on,on,on,0.010955,0.283244,0.38631,0.075591,0.147128,-2.870469,bert
plot+table,on,on,on,0.022562,0.15615,0.372011,0.078083,0.157662,25.071613,longformer_ext
plot+table,on,on,on,0.007826,0.143689,0.360862,0.048561,0.140036,10.747879,t5
plot+table,on,on,on,0.036413,0.186354,0.4116,0.103093,0.173994,32.876953,bart
plot+table,on,on,on,0.010596,0.22947,0.324271,0.083127,0.118636,-3.286902,bert
plot+table,on,on,on,0.018314,0.172769,0.345622,0.066154,0.122888,12.461538,longformer_ext
plot+table,on,on,on,0.015962,0.162607,0.350663,0.089888,0.159021,16.108235,t5
plot,off,off,off,0.018787,0.13283,0.346225,0.071956,0.160221,16.052102,bart
plot,off,off,off,0.023113,0.278029,0.434385,0.081466,0.158698,5.428309,bert
plot,off,off,off,0.015374,0.162704,0.386986,0.111492,0.19863,21.638759,longformer_ext
plot,off,off,off,0.011131,0.133549,0.358238,0.084453,0.162835,20.683144,t5
plot,off,off,off,0.045088,0.188772,0.461856,0.150826,0.2,28.79119,bart
plot,off,off,off,0.048061,0.285273,0.477521,0.171533,0.17983,9.520107,bert
plot,off,off,off,0.042435,0.192773,0.411387,0.103036,0.200184,28.962263,longformer_ext
plot,off,off,off,0.009123,0.137091,0.363029,0.102679,0.158129,29.019589,t5
table,off,off,off,0.013519,0.158945,0.365416,0.062092,0.150082,3.05489,bart
table,off,off,off,0.019231,0.271287,0.369748,0.063919,0.139496,1.557616,bert
table,off,off,off,0.011143,0.170914,0.386646,0.049767,0.170807,-1.912254,longformer_ext
table,off,off,off,0.015543,0.147787,0.357561,0.075314,0.163743,10.626831,t5
table,off,off,off,0.039809,0.173982,0.416335,0.129741,0.189243,21.107385,bart
table,off,off,off,0.02827,0.259677,0.379639,0.110403,0.144221,-7.510536,bert
table,off,off,off,0.053303,0.19537,0.334944,0.117742,0.1562,11.720595,longformer_ext
table,off,off,off,0.010812,0.134688,0.307018,0.081319,0.135965,14.331794,t5
plot+table,off,off,off,0.022679,0.145631,0.386121,0.078431,0.176157,25.634548,bart
plot+table,off,off,off,0.029257,0.289738,0.425653,0.081788,0.15962,0.244855,bert
plot+table,off,off,off,0.020961,0.165689,0.373423,0.062342,0.183347,37.490518,longformer_ext
plot+table,off,off,off,0.006529,0.129048,0.324065,0.063401,0.155321,21.695308,t5
plot+table,off,off,off,0.030578,0.151411,0.383532,0.112921,0.190683,26.920866,bart
plot+table,off,off,off,0.040472,0.274767,0.444997,0.140635,0.175264,2.286998,bert
plot+table,off,off,off,0.070225,0.226204,0.449012,0.15677,0.191304,17.054615,longformer_ext
plot+table,off,off,off,0.009009,0.12837,0.322015,0.070252,0.144578,47.494351,t5
plot,on,off,off,0.0229,0.141312,0.380357,0.078712,0.157143,17.998684,bart
plot,on,off,off,0.014963,0.275989,0.422497,0.077803,0.150892,-2.611326,bert
plot,on,off,off,0.02378,0.233241,0.471135,0.081063,0.173855,8.614906,longformer_ext
plot,on,off,off,0.005369,0.126484,0.327619,0.05916,0.131429,20.398812,t5
plot,on,off,off,0.031668,0.159881,0.41841,0.132075,0.179916,37.091317,bart
plot,on,off,off,0.021188,0.265946,0.452134,0.13164,0.16263,-0.055041,bert
plot,on,off,off,0.020652,0.16061,0.326005,0.08656,0.148597,30.767676,longformer_ext
plot,on,off,off,0.017596,0.191819,0.411348,0.099492,0.168186,25.350811,t5
table,on,off,off,0.004268,0.132393,0.327957,0.032316,0.139785,9.153436,bart
table,on,off,off,0.007482,0.253125,0.38678,0.051855,0.143814,1.009198,bert
table,on,off,off,0.01028,0.146922,0.291248,0.045977,0.134864,-2.319977,longformer_ext
table,on,off,off,0.005527,0.115827,0.302752,0.038603,0.121101,16.919236,t5
table,on,off,off,0.022901,0.168077,0.375691,0.088561,0.167587,12.815765,bart
table,on,off,off,0.012762,0.265862,0.354466,0.091709,0.132346,-11.150488,bert
table,on,off,off,0.015579,0.160677,0.382429,0.075928,0.141258,12.127922,longformer_ext
table,on,off,off,0.021905,0.174097,0.372624,0.091429,0.1673,23.841581,t5
plot+table,on,off,off,0.017426,0.167192,0.391926,0.075821,0.166526,16.492422,bart
plot+table,on,off,off,0.017471,0.272444,0.382212,0.080192,0.147436,7.630695,bert
plot+table,on,off,off,0.024379,0.20328,0.457055,0.107527,0.190184,28.652996,longformer_ext
plot+table,on,off,off,0.021913,0.152599,0.386874,0.070934,0.145078,29.967883,t5
plot+table,on,off,off,0.03523,0.184539,0.432971,0.116152,0.177536,21.812566,bart
plot+table,on,off,off,0.013518,0.252521,0.370152,0.106143,0.136475,-3.551702,bert
