Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Example,0.02245403,0.05312816,0.15478306,0.08517801,0.05930076,1.91446338
Evidence,0.03369218,0.00554030,0.30001863,0.94821500,1.00620624,0.87605631
Evidence_AND_Example,0.11462101,0.05898980,0.46104885,1.04737422,1.12328345,2.82570099
Evidence_AND_Insights,0.23828893,0.01818164,0.46858911,1.27384732,2.04475192,4.86721600
Evidence_AND_Role,0.10528325,0.03016644,0.34228446,0.97533355,1.13982022,1.71052767
Insights,0.18085205,0.00027930,0.12220943,0.32434999,1.00219635,3.96348555
Insights_AND_Example,0.20923389,0.05384247,0.28360653,0.41837264,1.06293329,5.96984447
Role,0.01465928,0.02356640,0.01818191,0.00731770,0.08102212,0.58123602
Role_AND_Example,0.13238492,0.07985246,0.21115224,0.14887927,0.29447732,2.58314588
Role_AND_Insights,0.22409138,0.02393140,0.15222541,0.37099115,1.18878232,4.56450629
Summarizer,19.04427117,19.80895881,18.69239052,18.12939477,16.39962331,11.87471114
Summarizer_AND_Example,19.22302874,19.88015127,19.01891130,18.26135943,16.61396875,14.55612420
Summarizer_AND_Evidence,20.07260155,19.96602875,20.11229517,20.00586000,19.48957569,12.97006351
Summarizer_AND_Insights,19.89956807,19.93438511,19.45485013,18.80196295,18.26286118,16.16273282
Summarizer_AND_Role,20.48496953,20.06299769,20.20745324,19.20156400,20.23119707,14.58018577
